NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
27462,OxCGRT5424,OxCGRT,OXCGRT018605,AFRO,South Africa,ZAF,710,national,,,,H1 - public information campaign -2,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,1,,,"5 March 2020 - South Africa's President Cyril Ramaphosa has warned that the coronavirus will turn into a ""national crisis"" and its impact will be ""huge"".  His warning came after the first case of the coronavirus was detected in South Africa.     https://www.bbc.co.uk/news/world-africa-51752974     https://www.gov.za/Coronavirus",,,,,,,2020-03-05,,,9261
16513,GPHIN04131,GPHIN,4131,AFRO,South Africa,ZAF,710,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"People across South Africa are bracing for a 21-day lockdown after the government announced sweeping new measures to tackle the spread of the new coronavirus.    All shops and businesses are to close, with the exemption of pharmacies, laboratories, banks, the Johannesburg Stock Exchange, supermarkets, petrol stations and healthcare providers.
Health workers, emergency personnel and security services will be allowed to work, while soldiers will be deployed to patrol the streets in support of the police.",,,,Media,https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html,,2020-03-24,,2020-03-24,9261
27467,OxCGRT5429,OxCGRT,OXCGRT018615,AFRO,South Africa,ZAF,710,national,,,,C7 - restrictions on internal movement - 1,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,1,,,"President Cyril Ramaphosa in address to nation on March 15th: ""We further discourage all non-essential domestic travel, particularly by air, rail, taxis and bus.""; https://web.archive.org/web/20200404222323/http://www.thepresidency.gov.za/press-statements/statement-president-cyril-ramaphosa-measures-combat-covid-19-epidemic. (Link not archivable); https://web.archive.org/web/20200404222340/https://mg.co.za/article/2020-03-15-read-in-full-ramaphosas-statement-on-combating-covid-19/  /web/20200430103419/https://www.gov.za/speeches/statement-president-cyril-ramaphosa-measures-combat-covid-19-epidemic-15-mar-2020-0000",Recommended,,,,,,2020-03-15,,,9261
19571,GPHIN05881,GPHIN,5881,AFRO,South Africa,ZAF,710,national,,,,CLOSING PUBLIC PLACES,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,,,,"On 9 April, the President announced that a nationwide lockdown set to expire on 17 April has been extended by two weeks to 30 April. The lockdown prohibits people from leaving their homes unless they are buying food, seeking medical help, or collecting social grants. All non-essential businesses are closed. Nearly 20,000 police and soldiers have been deployed to maintain order and ensure that people are respecting lockdown measures.",,,,Media,https://www.garda.com/crisis24/news-alerts/331056/south-africa-authorities-extend-nationwide-lockdown-to-april-30-due-to-covid-19-update-8,,2020-04-14,,2020-04-14,9261
7577,ACAPS_7577,ACAPS,7278,AFRO,South Africa,ZAF,710,national,,Public health measures,,General recommendations,8.4,Other measures,Communications and engagement,,No,,,All South Africans are informed to wear a face mask whenever you leave home once lockdown restrictions are eased.,Not available,Introduction / extension of measures,Government of South Africa,Government,https://www.gov.za/speeches/president-cyril-ramaphosa-south-africas-response-coronavirus-covid-19-pandemic-23-apr-2020,,2020-05-01,,2020-04-24,9261
16792,GPHIN04384,GPHIN,4384,AFRO,South Africa,ZAF,710,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Since its inception, Cape Town based crowdsolving startup Zindi has been building a database of data scientists across Africa.
It now has 12,000 registered on its its platform that uses AI and machine learning to tackle complex problems and will offer them cash-prizes to find solutions to curb COVID-19.
Zindi has an open challenge focused on stemming the spread and havoc of coronavirus and will introduce a hackathon in April. The current competition, sponsored by AI4D, tasks scientists to create models that can use data to predict the global spread of COVID-19 over the next three months.
The challenge is open until April 19, solutions will be evaluated against future numbers and the winner will receive $5000.
The competition fits with Zindi’s business model of building a platform that can aggregate pressing private or public-sector challenges and match the solution seekers to problem solvers.",,,,Media,,,2020-03-26,,2020-03-26,9261
15553,GPHIN03418,GPHIN,3418,AFRO,South Africa,ZAF,710,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,A completed health questionnaire must be presented to Port Health upon arrival.,,,,Media,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,2020-03-11,,2020-03-11,9261
7578,ACAPS_7578,ACAPS,7279,AFRO,South Africa,ZAF,710,national,,Lockdown,,Full lockdown,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,No,,,"The full lockdown will be gradually eased from May 1st. From then on the country will begin a gradual and phased recovery of economic activity. SA will implement a risk adjusted strategy through which we take a deliberate and cautious approach to the easing of current lockdown restrictions. There are 5 levels in this process, level 5 is the current full lockdown, from May 1st a transition to level 4 will occur (level 1 is essentially normal functioning of the country).",Not applicable,Phase-out measure,Government of South Africa,Government,https://www.gov.za/speeches/president-cyril-ramaphosa-south-africas-response-coronavirus-covid-19-pandemic-23-apr-2020,,2020-05-01,,2020-04-24,9261
17725,GPHIN05015,GPHIN,5015,AFRO,South Africa,ZAF,710,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"On 31 March, security forces used rubber bullets to disperse a hospital-worker demonstration in Welkom (Free State province), wounding two nurses; the health care workers organized the protest to denounce the cost of transportation. Nearly 20,000 police and soldiers have been deployed to maintain order and ensure people are respecting the lockdown measures in place for at least 21 days from 26 March.",,,,Media,https://www.garda.com/crisis24/news-alerts/328381/south-africa-security-forces-forcibly-disperse-crowds-in-cape-town-and-johannesburg-april-1-amid-covid-19-lockdown-update-5,,2020-04-02,,2020-04-02,9261
21730,IHR_555,IHR,349,AFRO,South Africa,ZAF,710,national,,International Travel,,self_isolation,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,,,,,,,,2020-03-18,,,9261
10647,CDC_ITF_1562,CDC_ITF,CDC-ITF-ZA-00003,AFRO,South Africa,ZAF,710,national,,,Academic closures,,4.1.2,Social and physical distancing measures,School measures,Closing,,,,NA,,Impose,,,UNESCO ed excel,,2020-03-18,,2020-03-20,9261
10652,CDC_ITF_1567,CDC_ITF,CDC-ITF-ZA-00009,AFRO,South Africa,ZAF,710,national,,,Office/business closures,,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,,,,NA,,,,,,,,,2020-03-20,9261
14660,GPHIN02704,GPHIN,2704,AFRO,South Africa,ZAF,710,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,South African Health Minister has said citizens currently quarantined in China will be returning home in the next few days.,,,,Media,https://www.aljazeera.com/news/2020/03/backs-83bn-funds-china-death-toll-tops-3000-live-updates-200305000715579.html,,2020-03-05,,2020-03-05,9261
17727,GPHIN05015,GPHIN,5015,AFRO,South Africa,ZAF,710,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"On 31 March, security forces used rubber bullets to disperse a hospital-worker demonstration in Welkom (Free State province), wounding two nurses; the health care workers organized the protest to denounce the cost of transportation. Nearly 20,000 police and soldiers have been deployed to maintain order and ensure people are respecting the lockdown measures in place for at least 21 days from 26 March.",,,,Media,https://www.garda.com/crisis24/news-alerts/328381/south-africa-security-forces-forcibly-disperse-crowds-in-cape-town-and-johannesburg-april-1-amid-covid-19-lockdown-update-5,,2020-04-02,,2020-04-02,9261
27461,OxCGRT5423,OxCGRT,OXCGRT018563,AFRO,South Africa,ZAF,710,national,,,,C8 - restrictions on international travel - 1,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"Travellers screened at major airports, especially those travelling from destinations in Asia. https://web.archive.org/web/20200406133352/https://www.dailymaverick.co.za/article/2020-01-28-coronavirus-travellers-screened-at-sa-airports/",,,,,,,2020-01-23,,,9261
19570,GPHIN05881,GPHIN,5881,AFRO,South Africa,ZAF,710,national,,,,RESTRICTING OR LIMITING GATHERINGS,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",,,,"On 9 April, the President announced that a nationwide lockdown set to expire on 17 April has been extended by two weeks to 30 April. The lockdown prohibits people from leaving their homes unless they are buying food, seeking medical help, or collecting social grants. All non-essential businesses are closed. Nearly 20,000 police and soldiers have been deployed to maintain order and ensure that people are respecting lockdown measures.",,,,Media,https://www.garda.com/crisis24/news-alerts/331056/south-africa-authorities-extend-nationwide-lockdown-to-april-30-due-to-covid-19-update-8,,2020-04-14,,2020-04-14,9261
27477,OxCGRT5439,OxCGRT,OXCGRT018626,AFRO,South Africa,ZAF,710,national,,,,C4 - restrictions on gathering size - 3,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",10,,,"Lockdown announced. ""From midnight on Thursday, March 26 until midnight on Thursday, April 16, all South Africans will have to stay at home"". A wedding of 50 guests was stopped by police due to violating lockdown rules. Yes, funerals will be allowed to take place with the number of mourners restricted to 50. However, night vigils will be prohibited.  https://web.archive.org/web/20200430110613/https://www.newsweek.com/bride-groom-pastor-all-50-wedding-guests-arrested-violating-coronavirus-lockdown-1496399  https://web.archive.org/web/20200427205507/https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html  https://web.archive.org/web/20200430112246/https://www.gov.za/coronavirus/faq",,,,,,,2020-03-26,,,9261
12979,GPHIN01484,GPHIN,1484,AFRO,South Africa,ZAF,710,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"South Africa's National Health Laboratory Service (NHLS), through its internal division the National Institute for Communicable Diseases, is tasked with conducting surveillance for COVID-19 as well as managing potential cases. It has a call centre to help identify any suspected cases. 
Suspected cases and samples of nasal and throat swabs are handled according to a national protocol. Those who are confirmed as infected would be transitioned into isolation units which already exist for diseases. Family, work and social contacts of confirmed cases would be screened and/or self-quarantined until they are shown to be negative. 
Travellers with high fever are being screening at all ports of entry. 
The government has a formal, inter-sectoral plan on how it responds appropriately to COVID-19.",,,,Media,https://www.dailymaverick.co.za/article/2020-02-21-coronavirus-dont-panic-but-south-africa-needs-to-be-prepared/,,2020-02-21,,2020-02-21,9261
7546,ACAPS_7546,ACAPS,577,AFRO,South Africa,ZAF,710,national,,Public health measures,,Health screenings in airports and border crossings,5.5,International travel measures,,Entry screening and isolation or quarantine,No,,,Infrafed thermometers and health personnel at all ports of entry.,Not applicable,Introduction / extension of measures,UK Government Travel Advice,Government,https://www.gov.uk/foreign-travel-advice/south-africa/health#coronavirus,,,,2020-03-16,9261
7582,ACAPS_7582,ACAPS,7288,AFRO,South Africa,ZAF,710,national,,Public health measures,,Isolation and quarantine policies,3.1.3,Surveillance and response measures,Detecting and isolating cases,Isolation,Yes,,,"Those who are elderly, and those with underlying conditions, must remain at home and take additional precautions to isolate themselves.",Not applicable,Introduction / extension of measures,Government of South Africa,Government,https://www.gov.za/speeches/president-cyril-ramaphosa-south-africas-response-coronavirus-covid-19-pandemic-23-apr-2020,,2020-05-01,,2020-04-24,9261
14659,GPHIN02703,GPHIN,2703,AFRO,South Africa,ZAF,710,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"On 5 March, South Africa announced its first COVID-19 case in a man who travelled to Italy, becoming the third sub-Saharan country to report the infection after Senegal and Nigeria. The Emergency Operating Centre (EOC) has identified the contacts by interviewing the patient and doctor. The tracer team has been deployed to KwaZulu-Natal province with epidemiologists and clinicians from NICD. The doctor has been self-isolated as well.",,,,Media,,,2020-03-05,,2020-03-05,9261
18593,GPHIN05409,GPHIN,5409,AFRO,South Africa,ZAF,710,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Some 66 people have tested positive for COVID-19 in a single hospital in the coastal South African city of Durban, 48 of whom are staff at St. Augustine's Hospital. Authorities were looking into closing parts of the facility.",,,,Media,https://www.dw.com/en/coronavirus-latest-lufthansa-shutters-germanwings-subsidiary/a-53043555,,2020-04-07,,2020-04-07,9261
10650,CDC_ITF_1565,CDC_ITF,CDC-ITF-ZA-00006,AFRO,South Africa,ZAF,710,national,,,Mass gathering restrictions,>100,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,NA,,Impose,,,,,2020-03-15,,2020-03-20,9261
16549,GPHIN04164,GPHIN,4164,AFRO,South Africa,ZAF,710,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"In response to an official media enquiry, public relations manager for MSC Cruises South Afric, Lebo Mavuso said: ""MSC Cruises has not been notified by any former passenger, port health authority or the government that a former passenger onboard one of our cruises in South Africa may have tested positive for Covid-19.
""If we received notification, then, naturally, we would act appropriately and follow the requirements stipulated by the national government and the Ministry of Health. MSC Cruises has complied with all applicable legislation and directives from the ports we serve in South Africa,"" added Mavuso.
Spokesperson for the National Institute for Communicable Diseases (NICD) Sinenhlanhla Jimoh said the relevant authorities would get in touch with MSC with the necessary steps to be taken once the positive result was verified by the NICD.",,,,Media,,,2020-03-24,,2020-03-24,9261
20687,GPHIN06576,GPHIN,6576,AFRO,South Africa,ZAF,710,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"South Africa's President Cyril Ramaphosa announced a $26bn relief package to shore up the economy and support people in need during the coronavirus pandemic.  One tenth of the package will go towards the most vulnerable people over the next six months, in a country described by the World Bank as the world's most unequal.",,,,Media,https://www.aljazeera.com/news/2020/04/coronavirus-dead-world-exceeds-170000-live-updates-200421005048334.html,,2020-04-21,,2020-04-21,9261
7568,ACAPS_7568,ACAPS,4650,AFRO,South Africa,ZAF,710,national,,Social distancing,,Limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,No,,,"Uganda has banned the movement of all motorcycle taxis, called boda bodas",Not available,Introduction / extension of measures,BBC,Media,https://www.bbc.com/news/world/africa/live,,2020-04-08,,2020-04-10,9261
17116,GPHIN04656,GPHIN,4656,AFRO,South Africa,ZAF,710,national,,,,LAND SCREENING,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"South Africa’s President has launched a mass screening programme for coronavirus. On 30 March, 10,000 field workers would be visiting homes to screen people. those with symptoms would be quarantined either in their homes or in hospitals.
South Africa is Africa’s most impacted country with over 30,000 tests and 1,280 cases as at 30 March.",,,,Media,https://www.africanews.com/2020/03/31/coronavirus-hub-impact-of-outbreak-across-africa/,,2020-03-31,,2020-03-31,9261
7549,ACAPS_7549,ACAPS,597,AFRO,South Africa,ZAF,710,national,,Social distancing,,Schools closure,4.1.2,Social and physical distancing measures,School measures,Closing,No,,,All public schools closed as of 18 March until 13 April,Not applicable,Introduction / extension of measures,SA Government,Government,https://www.gov.za/Coronavirus,,2020-03-18,,2020-03-16,9261
27465,OxCGRT5427,OxCGRT,OXCGRT018610,AFRO,South Africa,ZAF,710,national,,,,H3 - contact tracing - 2,3.2.1,Surveillance and response measures,Tracing and quarantining contacts,Contact tracing,Traditional,,,10th March- All contacts of cases have been traced and are being tested. All contacts are currently under home based quarantine. These quarantine procedures are benchmarked against world standards for home based quarantine and are being strictly monitored by the contact tracing team. Going forward government led contact tracing aims to be comprehensive (Unsure whether this is successful in reality)    https://web.archive.org/web/20200406164558/https://sacoronavirus.co.za/2020/03/10/media-statement-10th-march-2020/,,,,,,,2020-03-10,,,9261
7554,ACAPS_7554,ACAPS,1844,AFRO,South Africa,ZAF,710,national,,Lockdown,,Full lockdown,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,No,,,All of South Africa will go into total lockdown from the midight 26th March until 16th of April . This means individuals will not be allowed to leave their homes except for strict reasons (aside from essential workers in the response). Detention and/or fine will be punishment for breaking the rules.,Arrest/Detention,Introduction / extension of measures,President press conference,Government,https://www.youtube.com/watch?v=H94eg5gEDeE,https://twitter.com/GovernmentZA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,2020-03-27,,2020-03-23,9261
19572,GPHIN05881,GPHIN,5881,AFRO,South Africa,ZAF,710,national,,,,LOCKDOWN OR CURFEW,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,"On 9 April, the President announced that a nationwide lockdown set to expire on 17 April has been extended by two weeks to 30 April. The lockdown prohibits people from leaving their homes unless they are buying food, seeking medical help, or collecting social grants. All non-essential businesses are closed. Nearly 20,000 police and soldiers have been deployed to maintain order and ensure that people are respecting lockdown measures.",,,,Media,https://www.garda.com/crisis24/news-alerts/331056/south-africa-authorities-extend-nationwide-lockdown-to-april-30-due-to-covid-19-update-8,,2020-04-14,,2020-04-14,9261
7583,ACAPS_7583,ACAPS,7289,AFRO,South Africa,ZAF,710,national,,Public health measures,,Strengthening the public health system,8.2,Other measures,,Scaling up,Yes,,,Government offers funding for companies who produce essential goods or provide essential services to scale up their operations.,Not applicable,Introduction / extension of measures,Government of South Africa,Social media,https://twitter.com/GovernmentZA/status/1253254788348735488,,2020-04-23,,2020-04-24,9261
7555,ACAPS_7555,ACAPS,1845,AFRO,South Africa,ZAF,710,national,,Social distancing,,Public services closure,4,Social and physical distancing measures,,,No,,,All non-essential businesses will be closed.,Up to detention,Introduction / extension of measures,President press conference,Government,https://www.youtube.com/watch?v=H94eg5gEDeE,https://twitter.com/GovernmentZA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,2020-03-27,,2020-03-23,9261
21731,IHR_556,IHR,349,AFRO,South Africa,ZAF,710,national,,International Travel,,quarantine_nationals,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,,,,,,,,2020-03-18,,,9261
10645,CDC_ITF_1560,CDC_ITF,CDC-ITF-ZA-00001,AFRO,South Africa,ZAF,710,national,,,Travel restrictions,Visa restrictions,5.2,International travel measures,,Restricting visas,,,,"From 15 March visas will not be issued for nationals from China Germany Iran Italy South Korea Spain the UK and the US. Visas already obtained before the announcement of the state of emergency will also be revoked.
All foreign nationals who have been to China Germany Iran Italy South Korea Spain the UK and the US in the past 20 days will be denied visas. Visas already issued to travellers from these countries will be revoked.",,Impose,,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,2020-03-15,,2020-03-20,9261
15625,GPHIN03479,GPHIN,3479,AFRO,South Africa,ZAF,710,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"In South Africa, WHO is working closely with local authoritiesto ensure treatment protocols and guidelines are in place. Eleven healthcare facilities, all with intensive care unit (ICU) capacity, have been designated for the treatment of COVID-19.",,,,Official,https://apps.who.int/iris/bitstream/handle/10665/331425/SITREP_COVID-19_WHOAFRO_20200311-eng.pdf,,2020-03-12,,2020-03-12,9261
27485,OxCGRT5447,OxCGRT,OXCGRT018652,AFRO,South Africa,ZAF,710,national,,,,E1 - income support,8.3,Other measures,,Financial packages,1,,,"President Cyril Ramaphosa has announced that government will direct R50 billion towards grants, in which child grant recipients will receive R300 in May and R500 in June. https://web.archive.org/save/https://ewn.co.za/2020/04/21/watch-live-ramaphosa-says-r50bn-allocated-towards-grant-recepeints  South African President Cyril Ramaphosa announced a 500 billion rand ($26.3 billion USD) rescue package, equivalent to 10% of the GDP of Africa’s most industrialised nation, to try to cushion the economic blow of the coronavirus pandemic.  The package will target large increases in existing welfare grants, funds for protecting jobs.   Additionally, 200 billion rand ($10 billion USD) in loan guarantees in partnership with the central bank of South Africa, finance ministry and commercial banks, and tax deferral for firms with more than 100 million rand turnover.    https://web.archive.org/web/20200501072953/https://www.ft.com/content/e07b70bd-71ae-4b8a-9855-09665330fed9     He is addressing the nation on Tuesday night on additional economic and social relief measures that form part of the national response to the coronavirus (COVID-19) pandemic.    All the other recipients will receive R260 extra for the next six months    The unemployed, with no source of income, will receive a monthly stipend of R350 for the next six months.    Ramaphosa said Sassa will be distributing food through the provision of vouchers for the vulnerable for the poor.",,,,,,,2020-04-21,,,9261
7571,ACAPS_7571,ACAPS,6615,AFRO,South Africa,ZAF,710,national,,Public health measures,,General recommendations,8.4,Other measures,Communications and engagement,,No,,,It is recommended that people use a cloth mask when going out in public.,Not applicable,Introduction / extension of measures,Government of SA,Social media,https://twitter.com/GovernmentZA/status/1250758968626069504,,2020-04-16,,2020-04-21,9261
15768,GPHIN03592,GPHIN,3592,AFRO,South Africa,ZAF,710,national,,,,REPATRIATION,10,Not of interest,Not of interest,Not of interest,,,,"South Africa has so far conducted nearly 900 tests, according to a statement by the government-run National Institute for Communicable Diseases. The South African government is expected to repatriate this week over 100 citizens who have been living in China. They will be in quarantine at a facility in the Northern Province of Limpopo upon arrival on the weekend.",,,,Media,,,2020-03-13,,2020-03-13,9261
7559,ACAPS_7559,ACAPS,1849,AFRO,South Africa,ZAF,710,national,,Governance and socio-economic measures,,Economic measures,8.3,Other measures,,Financial packages,No,,,Regulations put in place to prohibit unjust price rises.,Not available,Introduction / extension of measures,President press conference,Government,https://www.youtube.com/watch?v=H94eg5gEDeE,https://www.cnbcafrica.com/news/2020/03/23/breaking-nationwide-lockdown-announced-in-south-africa/,2020-03-27,,2020-03-23,9261
7573,ACAPS_7573,ACAPS,6617,AFRO,South Africa,ZAF,710,national,,Social distancing,,Limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,Yes,,,The Department of Basic Eductaion pospones May/June state exams until november,Not applicable,Introduction / extension of measures,Government of SA,Social media,https://twitter.com/GovernmentZA/status/1251524937694797827,,2020-04-18,,2020-04-21,9261
20789,GPHIN06654,GPHIN,6654,AFRO,South Africa,ZAF,710,national,,,,LOCKDOWN OR CURFEW,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,South Africa has extended a complete lockdown until the end of April and said key sectors could be reopened gradually under “strictly controlled conditions”.,,,,Media,https://cyprus-mail.com/2020/04/21/countries-pondering-an-easing-of-coronavirus-curbs/,,2020-04-22,,2020-04-22,9261
7545,ACAPS_7545,ACAPS,576,AFRO,South Africa,ZAF,710,national,,Public health measures,,Isolation and quarantine policies,3.1.3,Surveillance and response measures,Detecting and isolating cases,Isolation,Yes,,,Quarantine for those who test positive,Not applicable,Introduction / extension of measures,UK Government Travel Advice,Government,https://www.gov.uk/foreign-travel-advice/south-africa/health#coronavirus,,,,2020-03-16,9261
7552,ACAPS_7552,ACAPS,928,AFRO,South Africa,ZAF,710,national,,Social distancing,,Public services closure,4,Social and physical distancing measures,,,No,,,All on- and off-consumption premises selling liquor must be closed between 6pm and 9am the next morning on weekdays and Saturdays; and from 1pm on Sundays and public holidays. They must also abide by 50 person gathering maximum rules.,Up to detention,Introduction / extension of measures,SA Government,Government,https://www.sanews.gov.za/south-africa/covid-19-regulations-limit-alcohol-sale-hours,https://www.youtube.com/watch?v=4ZMnf98uIj4&feature=emb_rel_end,2020-03-20,,2020-03-20,9261
7561,ACAPS_7561,ACAPS,1851,AFRO,South Africa,ZAF,710,national,,Movement restrictions,,International flights suspension,5.7,International travel measures,,Suspending or restricting international flights,No,,,International flights to Lanseria Airport will be temporarily suspended.,Not applicable,Introduction / extension of measures,CBNC Africa,Media,https://www.cnbcafrica.com/news/2020/03/23/breaking-nationwide-lockdown-announced-in-south-africa/,,2020-03-27,,2020-03-23,9261
10651,CDC_ITF_1566,CDC_ITF,CDC-ITF-ZA-00008,AFRO,South Africa,ZAF,710,national,,,Traveler isolation/quarantine,,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"All South Africans who return to the country will have to go through tests and self-isolate or quarantine upon returning.
. NA",,Impose,,,,,,,2020-03-20,9261
10649,CDC_ITF_1564,CDC_ITF,CDC-ITF-ZA-00005,AFRO,South Africa,ZAF,710,national,,,Movement restrictions,Mandatory lockdown,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,Until April 26. Citizens and residents have been instructed to remain indoors during this time though some exceptions will be made for emergencies and certain professions. 26 March until at least 16 April,,Impose,,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,2020-03-26,,2020-03-20,9261
16436,GPHIN04085,GPHIN,4085,AFRO,South Africa,ZAF,710,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"South Africa will impose a nationwide lockdown for 21 days from midnight on Thursday 26 March to try to contain the coronavirus outbreak, President Cyril Ramaphosa said on Monday, as the number of confirmed cases jumped by 128 to 402.",,,,Media,https://nationalpost.com/pmn/health-pmn/south-africa-to-impose-21-day-lockdown-as-coronavirus-cases-jump-2,,2020-03-23,,2020-03-23,9261
7553,ACAPS_7553,ACAPS,929,AFRO,South Africa,ZAF,710,national,,Social distancing,,Limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,No,,,"Gatherings of more than 100 people prohibited & mass celebrations of upcoming national days, such as human rights day, will be cancelled. Where small gatherings are unaviodable organisers will need to put in place stringent measures of prevention and control.",Up to detention,Introduction / extension of measures,Newzroom Afrika: press conference,Media,https://www.youtube.com/watch?v=BGu27vsAYWA,https://www.aljazeera.com/news/2020/03/tension-fear-south-africa-steps-coronavirus-fight-200318043032147.html,2020-03-15,,2020-03-20,9261
13972,GPHIN02138,GPHIN,2138,AFRO,South Africa,ZAF,710,national,,,,REPATRIATION,10,Not of interest,Not of interest,Not of interest,,,,"South Africa will evacuate 132 nationals from the Chinese city of Wuhan, the epicenter of the coronavirus outbreak, according to a government statement. There are an estimated 199 South African citizens in Wuhan, and 132 of them have so far expressed desire to be repatriated. Upon arrival in South Africa, the evacuees will be placed in quarantine for 21 days as an additional precautionary measure.",,,,Media,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-28-20-intl-hnk/index.html,,2020-02-28,,2020-02-28,9261
19637,GPHIN05920,GPHIN,5920,AFRO,South Africa,ZAF,710,national,,,,REPATRIATION,10,Not of interest,Not of interest,Not of interest,,,,"South Africa airlifted some 136 of its nationals in the Nigerian capital, Lagos, to become the ninth country to do so from the West African country over the novel coronavirus outbreak.",,,,Media,https://www.aljazeera.com/news/2020/04/coronavirus-deaths-slow-italy-france-live-updates-200413000419105.html,,2020-04-14,,2020-04-14,9261
7567,ACAPS_7567,ACAPS,4647,AFRO,South Africa,ZAF,710,national,,Governance and socio-economic measures,,State of emergency declared,8.3,Other measures,,Financial packages,No,,,"Declaration of State of National Disaster, 15 March",Not applicable,Introduction / extension of measures,ONHCR Document,UN,See ACAPS folder,,2020-03-15,,2020-04-10,9261
10648,CDC_ITF_1563,CDC_ITF,CDC-ITF-ZA-00004,AFRO,South Africa,ZAF,710,national,,,Travel restrictions,Travel bans/border closures,5.9,International travel measures,,Closing international land borders,,,,ban on entry of foreigners from high risk countries. China Germany Iran Italy South Korea Spain the UK and the US. All foreign travellers who entered South Africa from these high-risk countries since mid-February will be required to be tested for COVID-19.,,Impose,,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,2020-03-26,,2020-03-20,9261
