M0,M1,M2,M3,M4
0.035234943,0.0041814977,0.0094922595,0.0008395643,0.024919145
0.017166598,0.0025263405,3.627207e-05,3.9404866e-05,0.0006409168
0.015171264,0.04139227,0.008505087,0.007932686,0.0051788283
0.01251556,0.009049175,0.0002444965,0.0011534345,0.0010559459
0.011087949,0.0005056193,6.2252555e-05,7.1888346e-05,0.002674
0.010070639,0.002627689,0.0031688043,0.00018441504,0.0022192255
0.009898555,0.000356482,3.7028996e-05,0.00033888564,0.00040054397
0.009507372,0.00062302646,2.5133411e-05,7.187251e-05,0.00020236343
0.008464479,3.921809e-05,1.2815558e-05,1.5957867e-05,3.7253445e-05
0.008307179,3.119321e-05,1.301959e-05,1.3784717e-05,7.473754e-05
0.008097281,5.9338156e-05,1.9031722e-05,1.3565875e-05,8.2311635e-05
0.007857635,0.01674099,0.0006662812,0.005274586,0.03198937
0.0077749537,2.8632538e-05,1.2818895e-05,1.338032e-05,4.7206056e-05
0.007263213,5.076168e-05,1.8203084e-05,1.946295e-05,0.0010442501
0.007138163,3.421411e-05,1.1044499e-05,1.1142687e-05,7.165176e-05
0.0066496865,2.8354567e-05,1.3143233e-05,1.667124e-05,2.9435225e-05
0.0064001516,8.523671e-05,1.87973e-05,1.4702197e-05,0.00012727034
0.006248122,0.011809594,0.007839099,0.0027007223,0.0028125541
0.0059598056,0.016564164,0.0010245705,0.00068154704,0.0012760751
0.005895416,0.0009225309,2.615259e-05,3.9501465e-05,0.00051431527
0.00046488948,0.013340357,0.0007378436,0.0020296948,0.0040844013
0.00071439886,0.012252814,0.011217671,0.009531037,0.0015214717
0.0005444457,0.01014502,6.1754385e-05,0.013470411,0.00018983481
0.0007358556,0.009483305,0.0076849,0.0010013102,0.0019562328
0.00050553423,0.008924,0.0004416711,0.0052229804,0.004064615
0.0021164794,0.0088997865,0.00015733758,0.00039772672,0.00025921522
0.00014577822,0.007882926,0.0019619612,0.00051910355,8.52611e-05
0.00025052266,0.0076450817,0.008420787,0.004818907,0.0021823694
0.00017382728,0.0069106696,0.014267805,0.005332457,0.005988456
0.0001514626,0.0065017766,0.010238993,0.0015181628,0.0010326945
0.00069738,0.00631702,5.907755e-05,0.00042412063,0.0006523516
0.0029985933,0.0061150678,0.00010030146,0.024319967,0.00045525044
0.003779231,0.005837616,5.85212e-05,8.961259e-05,0.00062511663
0.0001189747,0.005660008,0.004756368,0.00215397,0.0025536239
0.00013371106,0.0054987064,0.0144694755,0.0014701437,0.004432767
0.0030691824,0.00030147895,0.03382185,0.00021227227,0.0030423773
0.00021064488,0.0025051932,0.016878193,0.0041693565,0.0016910884
4.1172374e-05,8.3630584e-05,0.012224308,0.0012352845,0.00013385838
0.0010367966,0.004583482,0.011712421,0.00048627765,0.010394955
4.048812e-05,7.28695e-05,0.011520031,9.4915194e-05,5.9719507e-05
3.5789384e-05,0.00014882938,0.010598322,0.00045546002,7.4371725e-05
3.7311143e-05,0.0010185381,0.01026848,0.00013904106,5.4250377e-05
0.00056360447,0.0043442585,0.008792463,0.000730521,0.0011863214
0.000114987204,0.0013996906,0.008756726,0.00016141585,0.0004590672
4.197244e-05,9.268284e-05,0.0072875842,0.0010402967,0.0014196659
0.00056548615,0.0022215883,0.0070965476,0.00010131275,0.004992727
2.6536138e-05,5.9659542e-05,0.00016992727,0.019020697,3.758111e-05
4.18532e-05,0.00010065955,0.004888646,0.016730273,8.004274e-05
0.0016183571,0.0012132782,0.0038435522,0.014972956,0.00019453114
7.035928e-05,0.0038112293,0.0031326378,0.012850174,0.0001008849
3.3852117e-05,6.127706e-05,0.005005856,0.012017914,4.9796403e-05
6.0551538e-05,0.00051938434,5.5534965e-05,0.011075244,3.739831e-05
0.0010066715,0.0006553609,0.00013734809,0.010811585,0.0070399237
3.962729e-05,0.00011199631,3.3977805e-05,0.009902821,3.0438496e-05
0.000115748946,0.001596487,0.00054413837,0.009512503,0.0001267281
2.6941274e-05,0.0009816021,4.7710782e-05,0.009499268,3.4791137e-05
2.0930363e-05,3.4210927e-05,0.000638118,0.00887323,2.7253007e-05
2.5981468e-05,0.00012235525,0.0024578683,0.00750032,0.00016974653
2.3701246e-05,8.727252e-05,0.0010906351,0.007450495,9.81433e-05
2.331196e-05,3.92998e-05,2.74312e-05,0.007445676,2.2283915e-05
0.0001891238,0.00030623053,4.1284846e-05,0.0072839907,2.871724e-05
2.0985226e-05,3.3111508e-05,2.9670087e-05,0.0070242044,1.987379e-05
0.0018866508,0.00032944744,0.0034289206,4.8887985e-05,0.010648459
0.0026411125,0.00030895713,9.196366e-05,4.9896305e-05,0.009489284
0.0015847931,0.004929838,0.0015934493,0.0037748972,0.0092679355
0.0008451593,0.0007277779,5.3851647e-05,0.00012819517,0.0086687645
0.00035384233,9.016385e-05,3.8276172e-05,2.9108907e-05,0.008066856
5.984067e-05,0.00013801838,0.0029017145,6.37605e-05,0.007981776
0.0008500752,0.0009656599,5.799586e-05,4.1264233e-05,0.0072958763
0.00020186254,0.0014158653,0.0022165487,0.00017103238,0.0065615936
0.00058496627,0.00010975968,8.8113055e-05,0.0021706633,0.0063865213
5.318382e-05,8.5367115e-05,2.0149757e-05,2.8657316e-05,0.005926384
0.0018749216,0.0029420608,0.005232624,0.0033573485,0.005736454
8.8590896e-05,3.06351e-05,1.8654227e-05,2.6744221e-05,0.005171093
4.6227553e-05,4.940168e-05,6.96178e-05,2.80816e-05,0.0050461506
