M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M5(t=0),M5(t=1),M5(t=2),M5(t=3),M5(t=4),M5(t=5),M5(t=6),M5(t=7),M5(t=8),M5(t=9),M5(t=10),M5(t=11),M5(t=12),M5(t=13),M5(t=14),M5(t=15),M5(t=16),M5(t=17),M5(t=18),M6(t=0),M6(t=1),M6(t=2),M6(t=3),M6(t=4),M6(t=5),M6(t=6),M6(t=7),M6(t=8),M6(t=9),M6(t=10),M6(t=11),M6(t=12),M6(t=13),M6(t=14),M6(t=15),M6(t=16),M6(t=17),M6(t=18),M7(t=0),M7(t=1),M7(t=2),M7(t=3),M7(t=4),M7(t=5),M7(t=6),M7(t=7),M7(t=8),M7(t=9),M7(t=10),M7(t=11),M7(t=12),M7(t=13),M7(t=14),M7(t=15),M7(t=16),M7(t=17),M7(t=18),M8(t=0),M8(t=1),M8(t=2),M8(t=3),M8(t=4),M8(t=5),M8(t=6),M8(t=7),M8(t=8),M8(t=9),M8(t=10),M8(t=11),M8(t=12),M8(t=13),M8(t=14),M8(t=15),M8(t=16),M8(t=17),M8(t=18),M9(t=0),M9(t=1),M9(t=2),M9(t=3),M9(t=4),M9(t=5),M9(t=6),M9(t=7),M9(t=8),M9(t=9),M9(t=10),M9(t=11),M9(t=12),M9(t=13),M9(t=14),M9(t=15),M9(t=16),M9(t=17),M9(t=18)
supplies,workers,workers,minister,emergency,emergency,masks,number,efforts,presence,anti,develop,kabul,nairobi,sus,temporarily,post,early,hand,week,postponed,events,postponed,cancelled,annual,including,thai,authority,controls,confined,republic,republic,boarding,japan,evaluated,examinations,junior,ambulance,iran,iran,iran,foreign,china,liechtenstein,line,cecc,poses,ambulances,man,zone,attended,mozambique,ioc,attended,cafés,manila,instituted,transmission,prevention,contact,public,prevention,avoid,premiers,players,facebook,avert,museum,cayman,alleviate,learn,donors,org,appeared,component,calendar,work,social,distancing,parliament,social,honduras,bahraini,enter,qatar,seat,travellers,expired,resort,ends,resident,requirements,scotia,trump,closure,outbreak,wuhan,positive,virus,days,inmates,nightclubs,checkpoints,policies,congress,olympic,appointments,delivering,packages,ford,weeks,employees,week,pressure,nations,international,organization,response,consideration,lift,thousand,nutrition,ford,suppliers,revenue,bc,affirms,manufacture,revenue,defense,latest,farms,disease,security,military,system,check,airport,airport,abide,visa,passengers,hong,ministry,receive,withdraw,stockpile,originating,flights,inbound,marshall,consulate,closed,authorities,authorities,masks,closed,experienced,respirator,assay,genomic,petersburg,relations,thought,therapeutics,canadians,weddings,theatres,overnight,nighttime,restrictive,researchers,sars,trials,university,challenge,uncertainty,origins,bergamo,inhabitants,crises,disruptions,asks,luxembourg,transparent,asks,slovenia,attorney,screenings,sanitizers
food,care,food,care,masks,ensure,emergency,coronavirus,number,effectively,reports,recognized,admission,grow,papua,longer,wear,canada,covid,year,concerns,concerns,online,planned,earlier,solidarity,including,international,spread,thai,arriving,lebanon,rep,concluded,acute,contamination,semester,coordinate,nationals,nationals,korea,arrival,allowed,apply,ministry,defer,travelling,czechia,afternoon,accept,junior,accused,museum,mining,organizing,gmt,geneva,testing,disease,case,surveillance,suspected,entry,kingdom,tokyo,avert,marathon,summit,compound,reconsider,strains,lungs,mutation,gaza,transfusion,component,pandemic,people,slow,officer,employees,bahraini,embassy,qatar,flight,taiwan,travelers,transited,yokohama,cambodia,malaysian,performing,options,portuguese,making,tested,country,virus,health,deemed,station,spray,saskatchewan,abuse,maritime,loosen,delivering,muslims,announces,message,april,days,precautionary,test,organization,united,africa,nations,economies,countermeasures,prepares,thousand,scaling,relating,counseling,scaling,coping,import,defense,foundation,disease,resulting,unit,disinfection,system,beijing,measures,ruling,admission,january,guam,crew,passengers,ship,withdraw,poll,november,flown,samoa,marshall,nationals,nationals,state,state,essential,remain,businesses,suppliers,supplied,cancellation,molecular,professor,genomic,relations,hopkins,sport,casinos,banks,restrictive,restrictive,loosen,sars,test,cov,cov,rare,expertise,palestinian,inhabitants,influx,availability,sets,packages,relation,engaged,americas,jails,terminal,civilian,bolivia
coronavirus,coronavirus,supplies,emergency,canada,masks,made,masks,prevent,heightened,emergencies,shortened,stages,alternative,mongolia,ships,prime,masks,canada,concerns,event,year,year,shift,training,rolled,meeting,flights,beijing,suspend,bans,qantas,serbia,airline,issued,develop,trillion,campaigns,countries,countries,japan,kong,apply,airline,salvador,ministry,liechtenstein,cheongdo,exhibition,rose,accept,ioc,formally,dominican,dominican,curfews,presidential,community,community,risk,issued,guidelines,persons,women,summit,cancellation,athletes,developers,alleviate,prioritizing,cured,investigational,appeared,actors,appeared,innovations,social,pandemic,pandemic,employees,government,serbia,ships,taiwan,directorate,flight,charter,malta,practitioner,direct,hairdressers,bahraini,request,scotia,production,wuhan,quarantine,country,country,located,car,freight,bio,absolutely,organisers,sit,demanding,lost,lost,employees,international,precautionary,history,cases,efforts,european,cent,global,lift,extraordinary,worried,tasked,distribute,counseling,numerous,pledging,bc,defense,proposed,aiming,defense,conference,junior,military,security,national,system,contractors,boarding,ministry,departed,returning,austria,travelers,stockpile,worried,overcome,inbound,italy,consulate,venice,traveling,place,place,state,essential,aged,energy,tennis,ceremony,biorxiv,biorxiv,pharmaceuticals,johns,costa,fine,fine,gas,neighborhoods,bakeries,indefinite,disease,cov,university,patients,remdesivir,sciences,cited,pakistani,wfp,palestine,ensuring,cambodian,caregivers,activation,gates,liechtenstein,demanded,delta,civilian
care,face,face,food,ensure,pandemic,canada,order,introduce,anti,leisure,manner,injuries,sus,sales,canceled,long,hand,government,employees,year,week,outbreak,outbreak,conference,earlier,solidarity,beijing,qantas,japan,apply,airline,airline,kong,concluded,development,stockpile,notification,foreign,hong,hong,days,airline,resident,honduras,honduras,romania,clearance,packages,man,messaging,mining,mozambique,strike,accommodate,music,rescue,control,control,community,control,screening,contact,postponing,cancelled,san,tennis,avert,reconsider,johnson,favipiravir,org,demonstrated,favipiravir,systematic,artificial,april,chief,work,plan,voted,cyprus,stationed,thailand,airlines,cruise,seat,iata,usa,brussels,declaration,spend,neighborhoods,options,month,authorities,positive,february,reported,publicly,holidays,deemed,museums,organised,absolutely,golf,managers,competitions,exchange,trade,move,outbreak,days,collected,information,efforts,european,economies,programme,fishing,answers,cpc,trenton,distribute,distribute,bulk,enterprises,press,future,approvals,tests,testing,reported,water,spread,hand,relevant,cards,undertaken,onboard,japan,taiwanese,lebanon,iran,group,november,citing,difficult,arrival,nationals,consular,consular,country,essential,measures,borders,cargo,shipped,conflict,undergone,lungs,insights,opportunities,biotech,therapies,beauty,beauty,movement,governor,gathered,shopping,published,trials,trial,severe,avigan,lungs,responded,crises,mitigate,devices,transparency,devices,donation,trinidad,improving,slovakia,qr,patrols,patrols
support,support,canadian,face,national,country,order,ensure,participate,aimed,objectives,gathered,manner,blocked,fort,tokyo,canada,covid,ensure,postponed,week,outbreak,held,home,eating,home,poor,crowds,west,europe,gather,countries,hong,arriving,urges,experience,ambulance,readiness,coronavirus,japan,kong,quarantine,travelers,cecc,laos,focusing,man,governing,downtown,sending,formally,producers,attended,courts,gmt,surrounding,threats,prevention,case,control,risk,level,level,republic,associations,associations,football,febraury,southwestern,learn,convalescent,component,gaza,demonstrated,demonstrated,transfusion,order,order,months,week,prime,landed,dock,directorate,cruise,princess,expired,flag,mauritius,accredited,operates,cinemas,valid,operates,amid,china,authorities,hospital,capital,station,screen,railways,spray,slated,golf,appointments,doors,loosen,delivering,announces,lawmakers,people,home,spread,european,cent,ministers,survey,impacts,clean,groceries,prepares,unproven,import,manufacture,huge,payment,imf,approvals,nato,senegal,shift,campus,prevent,water,central,commission,beijing,sequencing,command,january,austria,crew,health,caribbean,millions,semi,milan,travel,questionnaire,traveling,valid,essential,curfew,nationwide,face,governor,plants,distribute,representing,conflict,commonly,professor,predict,bridge,license,fitr,swimming,extension,indefinite,supermarkets,tests,published,scientists,journal,syndrome,mutation,backed,mounting,committed,wide,box,achieve,engaged,outpatient,luxembourg,attorney,servants,servants,describes
pandemic,covid,support,pandemic,pandemic,canada,prevent,spread,masks,bed,including,entitled,layer,objectives,carnival,buying,country,workers,workers,event,held,held,world,concerns,light,players,densely,visited,japan,bans,lebanon,china,lebanon,australia,principal,defer,easier,communities,japan,foreign,foreign,allowed,air,clearance,category,iceland,eea,operated,czechia,afternoon,directives,rose,producers,formally,swedish,avert,sporting,case,contact,surveillance,community,precautions,including,resort,papers,museum,downtown,dose,prioritizing,org,coalition,panel,strains,pandemics,statistics,appeared,prevent,distancing,house,order,phased,urge,stranded,passengers,taipei,cambodia,visited,yokohama,mark,travelling,travellers,portuguese,requirements,shops,week,reported,china,reported,days,local,capital,hairdressers,delta,holidays,spots,absolutely,retail,ioc,message,cooperative,outbreak,person,require,contact,cent,information,regional,economy,countermeasures,salons,connect,trenton,fallout,gowns,pledging,distribute,revenue,trillion,conference,testing,southern,year,school,police,central,thermal,service,temperatures,cards,cuba,docked,past,enter,guam,letter,decisions,american,iran,cutting,fuel,laos,marshall,emergency,coronavirus,gatherings,nationwide,colombian,vary,vary,unemployment,strains,pharmaceuticals,unhcr,sustainable,settlements,weddings,bridge,permitted,exception,governor,fitr,cov,trial,test,blood,scientists,serology,comprising,nearest,santiago,gaza,shields,transparent,strong,luxembourg,slovakia,engaged,jails,draft,expired
face,canadian,covid,protective,country,facilities,country,efforts,presence,standing,human,assay,cape,jordan,grow,jordan,sales,prime,daily,held,employees,meat,tokyo,international,meeting,trade,visited,conference,europe,international,airline,apply,salvador,hong,reconsider,share,responsibility,diabetes,march,kong,march,apply,quarantine,enter,bosnia,inspected,cecc,tips,operated,attended,ramp,mauritius,spectators,spectators,bergamo,freely,refund,contact,testing,guidelines,management,states,departments,linked,football,rescheduled,tournament,cancelling,downtown,dose,org,convalescent,cured,mrna,sequences,insights,part,april,chief,plans,resuming,civil,travelers,saudi,piedmont,qantas,cruise,visited,evacuating,declaration,cabin,cafes,canada,factories,swiss,medical,infected,infected,disease,day,ten,directives,enforce,saskatchewan,wait,delivering,organisers,appointments,demanding,international,history,move,contact,case,outbreak,fund,crisis,tackle,implications,freely,revenue,subway,gowns,importing,letters,mobilize,imf,epidemic,teachers,ottawa,release,reported,year,efforts,beijing,efforts,airports,temperature,relevant,guam,level,guam,health,cruise,middle,expressed,fuel,worsen,veneto,traveling,valid,neighboring,time,country,place,country,factories,biology,ceremony,strains,insights,google,november,australians,donors,select,salons,gradually,enforce,supermarkets,governor,treatment,disease,published,drugs,serology,male,victims,scope,intelligence,avert,losses,relation,layer,read,highlighting,bazar,codes,demanded,demanded
canadian,supply,supply,support,announced,march,ensure,related,medical,crossing,humanitarian,lopinavir,answers,tickets,ioc,papua,prevent,canadians,plants,weeks,world,tokyo,annual,football,collaborating,sea,central,city,south,restrictions,arabia,arrival,apply,lebanon,passengers,referred,organisations,hot,hong,march,allowed,south,citizens,arrival,apply,box,czechia,focusing,rose,accounts,ford,handed,dominican,pulled,avert,moroccan,surrounding,infection,guidelines,management,persons,cases,suspected,shincheonji,hotspots,tennis,alternatives,component,experienced,favipiravir,sustainable,experienced,panel,mutation,artificial,scientist,chief,plan,prime,measures,fake,vessels,serbia,flight,arrangements,charter,romagna,observe,flag,travellers,persons,depending,hand,fill,offering,positive,reported,china,hospital,towns,meters,universal,shutdown,spray,clients,doors,absolutely,organised,organised,festival,tourism,avoid,weeks,virus,crisis,economic,survey,social,promote,earliest,matters,fraudulent,disposable,fallout,mobilize,ford,huge,insufficient,trillion,conference,institutions,school,institutions,central,efforts,police,hand,cameras,abide,departed,kuwait,level,nationals,austria,supposed,caribbean,worsen,trip,questionnaire,veneto,neighboring,venice,coronavirus,time,country,homes,restrictions,yesterday,vast,enrolled,ii,candidates,shown,therapies,demonstrated,fitr,sport,restrictive,indefinite,shopping,groceries,university,university,virus,syndrome,vaccine,developers,pakistani,eid,unicef,improving,vulnerable,commissioned,consular,gates,liechtenstein,expatriates,arrangements,attorney,attorney
supply,pandemic,minister,million,care,national,people,security,crossing,resolution,security,admission,seaports,ioc,complaints,suspend,workers,investigations,employment,world,premier,football,week,year,leading,work,trade,densely,checks,israel,kyrgyzstan,sudan,iran,illness,daegu,surgeries,algeria,guards,citizens,allowed,enter,iran,days,ministry,yemen,paho,ukraine,cabin,bosnia,trade,barriers,organisers,unemployment,addis,pilgrimage,accommodate,freely,national,infection,disease,suspected,risks,united,hotspots,cambridge,athletes,sections,alternatives,cambridge,component,mutation,appeared,sequences,sequencing,scientist,demonstrated,measures,measures,decision,tourism,measures,australians,directorate,piedmont,nationals,directorate,stranded,cambodia,macao,westerdam,accommodation,request,trump,owners,industrial,number,number,number,infected,conduct,publicly,vietnamese,freight,loosen,hairdressers,wait,olympic,exchange,discrimination,metres,temporarily,unions,prevent,days,launched,crisis,international,impacts,addressing,rwanda,golf,coping,accused,debt,bc,counseling,pledging,payment,news,future,aiming,children,cup,system,police,ensure,thermal,epidemic,infrared,naval,landing,japan,past,members,brought,news,rights,duty,venice,arrival,airlines,allowed,spread,emergency,public,gatherings,rural,yen,cancellation,barcelona,imperial,protein,australians,org,promised,bakeries,sectors,fitr,gathered,swimming,nighttime,trials,scientists,treatment,covid,azithromycin,challenge,uncertainty,dominican,urges,losses,palestine,ensuring,prioritize,questionnaire,raises,sanitizers,shelter,qr,arrangements
minister,minister,pandemic,canadian,provide,made,prime,prime,aimed,technology,kit,psychological,bridge,medina,bangkok,tickets,longer,post,masks,children,children,world,football,conference,trade,international,art,venues,police,began,taiwan,boarding,arrival,symptoms,distribute,syria,marathon,stockpile,kong,citizens,countries,korea,hong,japan,airline,poses,cards,category,accounts,turn,turn,suits,addis,presidential,attended,ford,islands,guidelines,surveillance,infection,guidelines,control,precautions,citizens,resort,cancelled,associations,southwestern,medrxiv,lungs,innovations,pledging,pasteur,transparent,bergamo,statistics,plan,months,order,states,running,enhanced,enhanced,immigration,princess,romagna,flight,terminal,refund,cabin,airport,directorate,employees,requirements,safety,infected,outbreak,chinese,chinese,cities,enforce,shutdown,directives,railways,employment,foods,agricultural,packages,trade,circumstances,unable,february,falls,coronavirus,economic,launched,efforts,hosting,agreed,cpc,hair,insufficient,coping,letters,complaints,insufficient,unemployment,prices,foundation,bill,revenue,institutions,representing,work,hand,hygiene,airport,air,finished,airline,mainland,country,guam,rome,countries,implications,violence,travelers,travelers,consular,docking,docking,people,extended,time,state,stores,meat,gear,vast,vast,conservation,highlight,highlight,oxford,hair,protests,weddings,swimming,gyms,santiago,trial,tests,drugs,remdesivir,mutation,azithromycin,santiago,avert,fragile,population,committed,sets,interest,largely,jails,finally,screenings,mosque,qr
