M0,M1,M2,M3,M4
0.032552674,0.00063599326,0.020461988,0.006587345,0.0113288425
0.016269602,4.678922e-05,0.00029936666,0.0034445715,5.107483e-05
0.015421329,0.009105632,0.007851018,0.035804402,0.009300389
0.011105103,0.0009840643,0.0011124543,0.009991637,0.00027892375
0.010766188,0.00017819004,0.0010376753,0.0025926512,0.004201645
0.008922142,9.765633e-05,0.0031935822,0.0017696633,9.904292e-05
0.008667708,0.003575335,0.028430164,0.021116933,0.00092792086
0.008179707,0.000215124,0.0006307256,0.00078071095,6.298725e-05
0.00800117,2.5267189e-05,0.0001022132,5.620371e-05,2.3247534e-05
0.0076419055,1.8521834e-05,3.9039594e-05,4.211367e-05,1.964245e-05
0.007641082,2.224518e-05,2.860412e-05,3.9732695e-05,1.8119743e-05
0.0076138224,2.1069067e-05,0.0001791333,4.6070796e-05,2.365709e-05
0.0074946266,2.1480868e-05,4.3879667e-05,3.735311e-05,1.4774714e-05
0.007322417,6.352167e-05,0.00023529197,0.0018173634,5.067422e-05
0.006893606,0.00043607378,0.00017776378,8.820654e-05,2.6661362e-05
0.0068420134,1.9251094e-05,4.9935046e-05,3.6976817e-05,1.8558472e-05
0.006374591,2.2486021e-05,2.4224753e-05,2.7755328e-05,1.4687612e-05
0.0062609366,2.3481829e-05,0.000101742,6.207343e-05,3.1284813e-05
0.005484461,0.0011261371,0.0030097626,0.012890556,0.0072292006
0.0054618544,4.3050943e-05,0.0005407235,0.0009667412,2.9921252e-05
0.004638247,0.024624981,0.0008831363,0.00413236,9.685887e-05
3.3483488e-05,0.020356514,3.6475107e-05,6.795203e-05,7.5187985e-05
6.120808e-05,0.017699214,7.310795e-05,0.00029860373,0.004357033
0.0014294217,0.014852216,0.00012419253,0.0027854482,0.0028144012
3.7845854e-05,0.014044212,3.9085306e-05,7.445888e-05,0.0050154906
0.00010279125,0.0135132475,7.566688e-05,0.0042998986,0.0028574266
0.0025594886,0.01205812,0.00031048842,0.0104165105,7.0813636e-05
0.00015376112,0.011749792,5.973941e-05,0.0010259228,7.205629e-05
3.4779685e-05,0.011081881,3.469726e-05,0.00014524677,4.227796e-05
0.00010624289,0.010772929,0.00019396082,0.0013464689,0.00026365378
3.720313e-05,0.010713689,4.8713104e-05,0.00055992947,6.525482e-05
0.00097510836,0.010210738,0.00764176,0.0004240604,0.000104636114
2.2977087e-05,0.009536811,2.4920388e-05,3.7676447e-05,0.00025897427
3.509699e-05,0.009217088,0.00012163065,0.00010091898,0.00047682473
0.0016416537,0.008679251,0.0017209565,0.009860099,0.013045033
2.9896762e-05,0.008663336,0.00017044315,0.00019399462,0.001975895
9.659163e-05,0.008544182,3.6506357e-05,0.00014136573,3.7849808e-05
3.6091795e-05,0.00846171,2.4039593e-05,4.7743204e-05,3.821647e-05
3.4116223e-05,0.007887422,2.3625253e-05,4.8553655e-05,3.4354467e-05
0.0019672208,5.850142e-05,0.01134545,0.0003007097,0.0025318828
0.0025030253,6.3179636e-05,0.009764806,0.0006586674,7.204732e-05
0.0017268969,0.0037197035,0.009060477,0.0052484022,0.0009646251
0.0013987198,8.111617e-05,0.008872014,0.00019060881,5.3135507e-05
0.00045281992,4.8921316e-05,0.008481582,0.0005244543,6.526539e-05
0.00041348778,2.7200018e-05,0.008049304,8.308897e-05,3.821527e-05
0.00012881568,0.0049521453,0.007613975,0.0045108763,0.014955521
0.0030981381,0.00024825145,0.007519642,0.004381548,0.013495083
5.1403982e-05,6.2752806e-05,0.007462516,0.00015472973,0.003185783
0.00038501827,0.0012847048,0.0073699597,0.00010722022,6.175937e-05
0.00013666891,9.854318e-05,0.0071507185,0.0015176865,0.0017763173
0.0008234895,0.0023107948,0.0059776586,0.010676856,0.0012232397
8.825372e-05,3.2109292e-05,0.0059724003,6.629145e-05,2.8380644e-05
0.00097100047,9.97365e-05,0.0052594286,0.0014165486,0.00694992
4.3065957e-05,5.2634987e-05,0.005096555,5.4787077e-05,0.00024086374
5.9338705e-05,3.1530868e-05,0.005041761,6.432042e-05,6.253091e-05
0.0040195626,0.00044694042,0.0004755951,0.020662837,0.0005990934
0.00046067275,0.0059519247,0.0022336242,0.0109099,0.00048284768
0.0010886026,0.00026283672,0.000111842484,0.010531109,0.00021324707
0.00012295623,0.00043841286,0.00010803579,0.008228814,0.0018834313
0.00029376656,0.0049856007,0.0022656014,0.0077296733,0.008584323
0.0014369418,0.0008346026,0.0022662946,0.0074560395,0.008674597
0.002291355,6.488984e-05,0.00041379116,0.0073820967,6.1005165e-05
0.00021304337,0.00050109485,0.00035653886,0.006867224,0.011319864
0.0015123258,0.0011140436,8.2549974e-05,0.006407003,7.305357e-05
0.00066295936,0.00018679605,0.00034861994,0.006378183,0.000293744
0.0019764,0.00012502997,0.00041805455,0.005993499,0.00013018188
0.0008160501,0.00050062523,0.0009303822,0.0059260484,9.9022946e-05
