,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
covid,covid,recover,border,based,incoming,arrangements,ages,stand,eu,selling
corona,corona,letter,madrid,task,hospitalised,emilia,stay,epidemiology,paulo,arrange
lockdown,lockdown,portable,flights,kits,quarantined,netherlands,nucleic,allocation,activities,tickets
border,border,stand,council,personal,moroccan,recover,destination,exempt,approves,bureau
