,M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M0(t=19),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M1(t=19),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M2(t=19),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M3(t=19),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M4(t=19)
prisons,0.001344586,0.00048330706,0.0007148595,0.0008995458,0.0014324343,0.0015415133,0.0023228228,0.0016744988,0.0023973847,0.001875325,0.0016136229,0.0021613732,0.0029327637,0.0012791997,0.0029043187,0.0015068474,0.0007653197,0.0011216492,0.0010466579,0.0016530264,0.0024776391,0.001558414,0.0039244187,0.0019820556,0.002758182,0.0008074478,0.0012325657,0.0018358738,0.0024353606,0.002231602,0.0015085636,0.0017113897,0.0024178594,0.0024197258,0.0004766946,0.0011284872,0.0015348207,0.0015963248,0.0009177807,0.002208591,0.0063242973,0.0022419046,0.0012332649,0.00048643618,0.002367917,0.0031595076,0.0022943947,0.0013503823,0.0053197118,0.0007515382,0.0012808293,0.0015549739,0.0012398375,0.0013253749,0.0017802692,0.0021018197,0.0019263943,0.0016103035,0.0021822155,0.0018450964,0.0011056515,0.0015023015,0.0021146468,0.001879545,0.0015746957,0.003207219,0.002984245,0.0058159144,0.0016712344,0.0018004712,0.0020635817,0.0032448478,0.0019808768,0.0041209436,0.0015927386,0.0007710518,0.0021307315,0.0016233722,0.0018584545,0.0011634976,0.001657133,0.0021496282,0.0012561787,0.0022019446,0.0013643828,0.0016412026,0.0020559481,0.00079569407,0.0010709125,0.0022320303,0.0011172504,0.0013607519,0.002398403,0.0010197638,0.0022962254,0.0022341441,0.0035508545,0.0019441448,0.001615318,0.0047591594
year,0.001722682,0.0008310632,0.0015524819,0.0009001293,0.0017523458,0.0030028373,0.0029886567,0.0016771716,0.0014867533,0.0020291235,0.0009620202,0.002125005,0.0019195584,0.0013166975,0.0033869206,0.001506668,0.0016001204,0.0029313492,0.0019735254,0.0009802349,0.0006785662,0.0011686881,0.0037326156,0.0015560386,0.0034380914,0.0023674185,0.0019831005,0.0015848462,0.0012007734,0.0016533681,0.004199539,0.00092814927,0.0032111362,0.0010018479,0.004869123,0.0018044476,0.0019792777,0.0044312305,0.0013438932,0.002762269,0.006184081,0.0030947542,0.002178507,0.0029064342,0.0010932389,0.007844626,0.0013122008,0.0017872793,0.0045085098,0.0028911177,0.0010586651,0.0011550504,0.0020677121,0.002288463,0.004109542,0.006223427,0.003546138,0.003920626,0.0019887148,0.00078981323,0.0036570057,0.0030106679,0.003635061,0.0019210291,0.0023202326,0.002059004,0.0029995027,0.0019110338,0.0015250511,0.001666206,0.0020480417,0.0025968477,0.0025678247,0.0019422978,0.002100954,0.00060456473,0.005028656,0.00213163,0.0036707653,0.0015470986,0.0012142253,0.0018410892,0.0011776806,0.0021535368,0.003269939,0.0011711572,0.00095221284,0.002701831,0.0022226428,0.001614838,0.0010342108,0.00071909284,0.0018062373,0.001126506,0.0029134513,0.0028544692,0.0014755267,0.0021198357,0.0006848288,0.0010793458
extends,0.0010932953,0.00080299715,0.001157065,0.0019633858,0.0022025397,0.000582709,0.0019681354,0.0044546695,0.0018254647,0.0015832477,0.0011086251,0.002820956,0.0009872407,0.0017617326,0.0014692307,0.0015466639,0.0006325293,0.0010486817,0.0014571525,0.0033594384,0.0016717192,0.0025659238,0.0019849695,0.0011359442,0.002560924,0.0033050175,0.0010709983,0.0028748792,0.0031115168,0.001984924,0.0010347689,0.0029547843,0.0008640836,0.0018910214,0.0016967426,0.0041306773,0.0016355286,0.0011898744,0.0023872533,0.00092706224,0.0056733293,0.002004014,0.0024041473,0.00281841,0.0006512725,0.0042020027,0.0026795776,0.0010383306,0.0024828399,0.0011321561,0.0015066221,0.0015514889,0.0012510035,0.0019321985,0.001240081,0.00060748775,0.0018833878,0.0017103108,0.0008343237,0.0029968496,0.0020122074,0.0012694041,0.0013769218,0.0025816455,0.002284241,0.0012109329,0.0025095493,0.0012464469,0.002236381,0.0014878823,0.0012926304,0.00238307,0.0016981487,0.0016361746,0.0024091396,0.002385866,0.0012010414,0.0026890507,0.003932931,0.0024496077,0.001080054,0.0055024945,0.0030394192,0.0028848392,0.003545415,0.0018016904,0.0020630253,0.0020972989,0.0017724519,0.004126017,0.0017231054,0.0029705036,0.0023974362,0.0010976961,0.0016441459,0.0023114048,0.001116998,0.0030191229,0.0021819295,0.00047519675
extended,0.004751586,0.0043899333,0.0051928153,0.0066217543,0.0060432088,0.003975766,0.0015898319,0.0012667152,0.0015790594,0.0020767786,0.001111927,0.0016083908,0.0021601042,0.00060898176,0.0011626717,0.0016725268,0.00064102776,0.008161411,0.0029718317,0.0019627712,0.0015058299,0.0016459381,0.0034768335,0.002497915,0.0010202896,0.0041961116,0.0026390043,0.0012255377,0.0013238637,0.00092989526,0.00082657544,0.001773829,0.0019986758,0.0010659028,0.0016374144,0.0005466308,0.0017317918,0.00228147,0.0024484538,0.0016884052,0.005186277,0.00097314816,0.0033392778,0.0029770278,0.0034865967,0.0056704343,0.002874099,0.0010757439,0.0021708903,0.0016289623,0.0016720151,0.000816518,0.004373185,0.0018791815,0.0022657234,0.00128489,0.0033198418,0.0020429967,0.004155158,0.0014963284,0.0026176544,0.0009728107,0.0011806566,0.002822768,0.0009491696,0.0009781232,0.0010912239,0.0016733317,0.004675094,0.0010910096,0.0033254018,0.0032440096,0.0032858793,0.0007845585,0.004547305,0.0007979957,0.0026321663,0.0048520723,0.001773878,0.001119528,0.000714661,0.002313277,0.002821244,0.00085772394,0.003872254,0.002100819,0.00089561933,0.0018853856,0.002130318,0.003175307,0.0038183471,0.00454907,0.0026626536,0.002018734,0.0015686796,0.0018837203,0.0024438258,0.0009392048,0.0021773658,0.0017374273
china,0.0029603161,0.0037062645,0.0025575268,0.0028571638,0.0025641606,0.001327997,0.001530271,0.0017527514,0.0015062084,0.0018346026,0.00097279454,0.002683401,0.0026426725,0.0010758572,0.0017391067,0.0011748417,0.0021253969,0.0030906983,0.003186403,0.0012359907,0.003613341,0.0015688614,0.0036387711,0.0014705141,0.0029620586,0.0035691815,0.0020601633,0.000761195,0.0016237877,0.0014481664,0.0010921927,0.0011542712,0.0023879143,0.0011659908,0.0026497287,0.0014421131,0.0008725347,0.0023605,0.0037075756,0.00097609026,0.0050163753,0.001384298,0.0014268785,0.0039081024,0.0021319033,0.0019153521,0.004656459,0.0039911876,0.0020031952,0.0012162694,0.0018217386,0.0014997071,0.0036074014,0.0021498585,0.0031181783,0.003299643,0.0017885962,0.0023627216,0.0019080958,0.0021632547,0.0025369301,0.002663473,0.0013304442,0.001270074,0.002725803,0.0032279608,0.002240842,0.002221791,0.005650234,0.0015389432,0.0022584184,0.0019959186,0.0061694933,0.0018597539,0.0048344554,0.0010524687,0.0013474214,0.0024124542,0.0016846643,0.009364323,0.0031885987,0.0023460165,0.0015393541,0.0013836874,0.0017052887,0.0037212064,0.0009983117,0.0032108093,0.0049414574,0.0016760909,0.0019848356,0.0011981179,0.0038520603,0.003452087,0.0014152264,0.0024448645,0.0019356423,0.00321346,0.0034062122,0.001966503
family,0.0010838131,0.0005836193,0.0007985321,0.0008639845,0.0009683569,0.0011104946,0.0032761295,0.002261453,0.002678672,0.002826747,0.0016579446,0.002729284,0.0029257077,0.0029170257,0.0013224116,0.0016253664,0.001979663,0.0023267537,0.0024612776,0.001616265,0.0008199353,0.001752252,0.004112636,0.0014102778,0.0012731521,0.0024856005,0.0020759376,0.0011288075,0.001735646,0.0013010725,0.0028181162,0.0014604497,0.0016644557,0.0013687582,0.0022237252,0.0018172449,0.002091857,0.0022547378,0.0009918332,0.002775545,0.0048716883,0.0021938935,0.0024364954,0.0014328334,0.0011365877,0.0062624654,0.005914744,0.0021911783,0.003249715,0.0019140979,0.0012999626,0.0035045343,0.0023229124,0.0013219168,0.0016424643,0.008750184,0.0010813824,0.003949402,0.0019107469,0.0014819442,0.0035336323,0.003147697,0.0030584317,0.0031861926,0.0027138838,0.0043776794,0.0008278545,0.003089892,0.0022536048,0.0019312898,0.004637274,0.0015242306,0.001583362,0.00141922,0.0025634647,0.0026392718,0.0032388447,0.0013590988,0.00084944867,0.0013114499,0.0023417498,0.0070021194,0.0012198238,0.0009835673,0.0020552613,0.0024745606,0.004094216,0.0012517016,0.0014698418,0.0029899182,0.001627964,0.0018458808,0.0027654602,0.0028612404,0.0027980835,0.002290617,0.004586757,0.0028053713,0.0037366918,0.002112023
total,0.0009883502,0.0016015125,0.0013835989,0.0015291428,0.0009859339,0.0012624715,0.0018378552,0.0022605974,0.0012909101,0.0051692603,0.001249206,0.0024608807,0.0010116146,0.0040753754,0.0016113546,0.0014324562,0.004146372,0.0007403751,0.0016105667,0.00077431987,0.0013117413,0.0016584703,0.0036474962,0.006754149,0.0011983908,0.0010819439,0.002406296,0.0029625348,0.001420838,0.0019258395,0.0035428447,0.0012524069,0.0027500167,0.0015594312,0.0032631492,0.004100757,0.0021005599,0.0019358044,0.0016882148,0.0023845027,0.004864472,0.0007362068,0.0028626334,0.0019934378,0.0063520973,0.0030331505,0.002948255,0.0011711837,0.0014998054,0.004184045,0.0018345882,0.0034379235,0.0021041208,0.0008753014,0.0011557288,0.0025855794,0.0028469078,0.0044639884,0.0054841214,0.0033637474,0.005145697,0.0023926946,0.0011890262,0.0015660785,0.0011039253,0.0021449914,0.0017586228,0.0014111226,0.0011988065,0.0024963114,0.0013191487,0.002026265,0.0022484052,0.0014124857,0.0011390798,0.0018129137,0.0011144537,0.0026635441,0.002600671,0.0020887728,0.0043285857,0.0013954763,0.0023147273,0.0045786533,0.0019811846,0.002459192,0.0019441544,0.0011331443,0.004488418,0.001344434,0.0017600813,0.0030878312,0.0011948646,0.0009321156,0.0019550337,0.004131914,0.0012195566,0.0010855558,0.0023651265,0.001556454
deployed,0.0017035819,0.00096769596,0.001001132,0.0010717246,0.0014159916,0.001143596,0.0016032364,0.0010671732,0.003997182,0.0014959641,0.0024180326,0.002484906,0.0013542293,0.003118011,0.0034429356,0.0040557664,0.00071502454,0.0012749973,0.0022083495,0.0036592258,0.00081831805,0.0023684974,0.0008563497,0.0016195964,0.0020809867,0.001818833,0.0029212246,0.0012659614,0.0033794942,0.002857227,0.0031067205,0.0022364396,0.0014701112,0.0014960261,0.0029408708,0.0014317834,0.0025737057,0.0019504472,0.0028369653,0.001477558,0.004844912,0.001327356,0.0013179291,0.0019260417,0.0020609847,0.004179887,0.0014527403,0.003073511,0.00068745797,0.0019581153,0.0025129654,0.005311216,0.001981071,0.001626618,0.0042551626,0.0029994862,0.0020990637,0.003033055,0.0010492277,0.0027023156,0.0035712586,0.0049498593,0.006436219,0.003358301,0.0027921568,0.0032944502,0.0012995286,0.0016049619,0.0012301193,0.0017948464,0.002875529,0.0033228311,0.001120868,0.0012929034,0.0014198967,0.0016774697,0.0038251167,0.0018818949,0.0010402893,0.0015423092,0.0024364302,0.0014179571,0.0014651363,0.0027128635,0.0019245816,0.0011334796,0.0013956977,0.0013183695,0.0026994278,0.0009496219,0.0030549618,0.0018089868,0.00052920304,0.0014408862,0.002356106,0.0010203165,0.003309252,0.002345606,0.0019325825,0.006473755
minister,0.005046318,0.0054742163,0.0042056325,0.0041372324,0.0057833483,0.001488229,0.0016002884,0.002560857,0.003817705,0.0038540338,0.0022430904,0.0016951022,0.0011532446,0.0022841,0.0011425402,0.0027749257,0.0011216718,0.0022383116,0.0010239951,0.0027076867,0.00094143004,0.0015914245,0.0016439914,0.001246954,0.0031100616,0.0014795762,0.0014396588,0.00092778046,0.0015594467,0.0021322276,0.0026237129,0.0031295745,0.0018793998,0.0018038518,0.0014685426,0.0015774564,0.0017045621,0.0030960173,0.001380278,0.001401287,0.0046268725,0.0018190581,0.002649139,0.0063293343,0.0075144535,0.0028278197,0.001332885,0.0006187127,0.0013412655,0.003898948,0.0016611723,0.001293206,0.0017039536,0.0013837296,0.0044956706,0.0015731588,0.0010306207,0.002699123,0.001258689,0.0027279032,0.0010882275,0.0021296958,0.0009135607,0.0029026365,0.001789166,0.0006135008,0.0032765358,0.0022139668,0.0013473387,0.0043124394,0.0024912206,0.0025340635,0.0007261429,0.0035195465,0.0020927985,0.0016478224,0.0017959871,0.0030778272,0.0023210577,0.0037670115,0.0011825683,0.00062181713,0.0015212469,0.0013978945,0.0027175038,0.0015626709,0.0010843794,0.0024145034,0.0050069722,0.0025010912,0.0057610534,0.0019007351,0.0017275126,0.00067536475,0.0028074642,0.0017193789,0.0044463696,0.0013309185,0.0010842724,0.0014074461
military,0.000943389,0.0017771007,0.0010772316,0.0011795257,0.0014984208,0.001389152,0.0037947851,0.0018642594,0.0008017088,0.002023553,0.0042474614,0.0026448919,0.0015208471,0.00075352413,0.0015806628,0.0032725548,0.004083036,0.0014049289,0.0019360258,0.00130816,0.0022614608,0.0014488634,0.0035977752,0.001385401,0.0014323482,0.00214908,0.0025319261,0.0009395841,0.0013065088,0.0019699729,0.0018620042,0.0017068989,0.0026667183,0.004999816,0.0013678198,0.0007579915,0.003960775,0.0033648845,0.0020421639,0.003522563,0.0025288118,0.005743688,0.0014581891,0.001335106,0.0027204892,0.007158417,0.0031805497,0.0022424904,0.004535294,0.0009155689,0.001589894,0.0020867302,0.0017478983,0.0013976684,0.0014830483,0.0011572172,0.0008494854,0.0045670033,0.001943939,0.0031992164,0.0009938969,0.0015467894,0.0019006603,0.0036206157,0.0009885152,0.0019363185,0.0021899357,0.0012605661,0.001701713,0.0013507117,0.0009282286,0.0014710899,0.0013634074,0.0017542386,0.0014213827,0.0010710655,0.0014499122,0.0011201329,0.00096665527,0.0019628725,0.0020741601,0.0023153024,0.0011954514,0.0008580688,0.004382798,0.0030772886,0.0028172282,0.0016030812,0.0018873718,0.0029391772,0.002932965,0.0014719003,0.0041126735,0.002501391,0.0087009,0.0036637299,0.0042342604,0.0019500199,0.00335379,0.0008526679
