,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
covid,covid,number,flights,contact,guidelines,extension,airports,pay,areas,mozambique
corona,corona,suspend,medical,monitoring,visits,banks,declared,private,foreigners,june
lockdown,lockdown,financial,groups,carry,civil,png,passenger,samoa,effect,tax
border,border,members,travelers,extended,level,taking,measures,foreign,region,kits
