,1,2
bills,3.3997480869293213,-6.49605131149292
disembarked,14.993914604187012,-6.9915008544921875
virginia,9.125341415405273,-0.5454065799713135
parallel,13.531641006469727,-10.325236320495605
poses,2.4918384552001953,7.27794075012207
gaza,14.855240821838379,-10.399649620056152
bulk,-18.691740036010742,13.386770248413086
answers,6.737424373626709,-18.469249725341797
chances,-14.311695098876953,4.456032752990723
position,-9.011343002319336,16.627965927124023
chance,12.819976806640625,-16.02775764465332
challenging,-13.961457252502441,6.361428260803223
sanitiser,4.0193891525268555,-1.4410426616668701
anticipation,0.5183349847793579,-1.578346610069275
sections,-11.032449722290039,16.553665161132812
prevents,3.6111857891082764,8.715171813964844
anvisa,7.428954601287842,-7.921734809875488
roche,18.303024291992188,-11.611167907714844
burkina,8.31667423248291,-22.763734817504883
function,10.060840606689453,-15.1183500289917
intend,15.18996810913086,-15.03989315032959
certificates,15.577083587646484,-9.84572696685791
museum,11.486860275268555,-6.373111248016357
awarded,1.965340256690979,-2.5320448875427246
mobilize,2.3742218017578125,-20.20855140686035
music,16.497886657714844,-10.518048286437988
farms,11.148885726928711,-0.7766834497451782
practitioner,16.29935646057129,-12.125653266906738
shorter,9.5196533203125,-22.366992950439453
sit,16.051572799682617,-2.535473346710205
appointment,-7.885007858276367,10.163765907287598
generally,15.09245491027832,-9.979934692382812
mg,18.800090789794922,-13.630462646484375
seconds,18.116893768310547,-12.765057563781738
attractions,3.1878743171691895,11.26715087890625
gps,10.405862808227539,-12.297039031982422
injuries,-13.1798734664917,4.605902194976807
mrna,18.384061813354492,-12.15557861328125
rolling,1.073724389076233,-11.287407875061035
voyage,4.461972236633301,10.881182670593262
inquiry,4.118772983551025,2.681718587875366
orange,4.69275426864624,-24.29034423828125
mumbai,-9.406335830688477,22.537687301635742
insights,-11.045926094055176,7.885634899139404
insisted,-3.1550235748291016,4.318143844604492
ends,4.749537944793701,-0.7197429537773132
prolonged,10.865779876708984,-1.1817243099212646
unemployment,1.2513647079467773,-1.1959158182144165
rescue,-12.059330940246582,10.381110191345215
chengdu,-6.68428897857666,17.399112701416016
unhcr,-10.10351848602295,19.87271499633789
amidst,-8.680832862854004,6.450781345367432
amman,-0.05258462205529213,-7.294352054595947
gilan,-8.58647632598877,5.3187479972839355
amounts,-7.579837322235107,-3.8401520252227783
techniques,0.7593255043029785,3.927312135696411
transparency,2.9683666229248047,12.314347267150879
leisure,14.316216468811035,-16.732229232788086
discussion,-1.7016355991363525,5.035055160522461
bakeries,-9.264147758483887,19.767187118530273
pain,-13.569016456604004,14.27728271484375
teacher,16.18787956237793,-10.092977523803711
aviv,4.5291428565979,-5.3171305656433105
cayman,-0.9196284413337708,-3.6982030868530273
faso,16.335886001586914,-11.353100776672363
kyrgyzstan,-9.121368408203125,-9.509743690490723
assays,-9.070599555969238,23.596574783325195
promoting,-9.006026268005371,-8.531743049621582
edward,19.22923469543457,-12.828219413757324
nato,-1.9513651132583618,3.058873414993286
minor,10.673771858215332,-16.538087844848633
finished,2.225379228591919,-2.137542963027954
unproven,3.269805669784546,-8.279861450195312
features,-14.79755687713623,14.53177547454834
kuala,-7.485866546630859,13.837834358215332
roadblocks,-10.031271934509277,21.81864356994629
usda,2.7403717041015625,5.995225429534912
timeline,-8.199445724487305,6.169784069061279
calendar,2.9934632778167725,7.457432746887207
tiny,-6.69060754776001,4.199160099029541
athens,-13.632484436035156,9.898168563842773
sensitivity,-12.380976676940918,10.98166561126709
revise,3.6626625061035156,-4.311995983123779
electricity,-3.1008219718933105,-6.231184005737305
elements,-8.930782318115234,5.1891584396362305
palace,4.469182014465332,-7.180126667022705
uruguay,-2.6061134338378906,11.616561889648438
elevated,8.001649856567383,-25.43437957763672
km,-14.492443084716797,16.790332794189453
iom,18.259632110595703,-5.28858757019043
rigorous,2.829707622528076,18.375286102294922
semi,-10.956731796264648,12.983304023742676
attorney,5.165056228637695,-21.218570709228516
mitigating,-9.281044960021973,16.77257537841797
eating,-9.178658485412598,-3.6014156341552734
tianjin,-2.28047251701355,-23.138845443725586
cape,7.9149298667907715,12.711288452148438
fragile,6.026664733886719,-24.404199600219727
papers,2.425563097000122,2.5484819412231445
interaction,-7.294872760772705,-1.0489742755889893
theatres,-9.069458961486816,11.8648099899292
formally,-4.231573104858398,-18.610265731811523
downtown,-8.17067813873291,8.51574993133545
neighborhood,-1.4505988359451294,10.708208084106445
catering,3.7743418216705322,9.209325790405273
avert,12.902593612670898,-16.495756149291992
transfusion,-9.327408790588379,20.226945877075195
seekers,15.345316886901855,-10.39472770690918
draw,-6.4220051765441895,4.587184906005859
arise,-7.832808017730713,9.530461311340332
drink,5.588895320892334,-2.7521750926971436
driven,3.215630292892456,0.6221693754196167
focuses,12.584474563598633,-8.524073600769043
prompt,0.7837058305740356,-10.605684280395508
promotion,-3.7374980449676514,-11.623137474060059
necessity,19.495990753173828,-12.173493385314941
pandemics,-18.565200805664062,4.308792591094971
robert,17.800048828125,-6.1895599365234375
mining,9.315755844116211,-0.49364081025123596
dubbed,-1.9570783376693726,16.882545471191406
vatican,11.805139541625977,9.705421447753906
prominent,3.585388660430908,7.9114556312561035
easier,14.071504592895508,-8.347099304199219
muslims,-13.671326637268066,12.062698364257812
easily,3.285536050796509,-26.67812156677246
vary,3.390782117843628,-5.385296821594238
karaoke,-13.53436279296875,1.5171914100646973
limitations,-13.524418830871582,16.666088104248047
ioc,17.692705154418945,-10.203753471374512
describe,-1.4907950162887573,18.649154663085938
belgian,1.0998080968856812,-2.3111047744750977
activate,-11.554325103759766,2.2419207096099854
