M0,M1,M2,M3,M4
0.060395032,0.0029880472,0.001881711,0.0035370716,0.0010501506
0.025515113,0.0017026041,0.08140227,0.003874522,0.0012772259
0.02291373,0.0010801792,0.00080691685,0.0012892233,0.00056737696
0.02282191,0.0023029011,0.0008190309,0.0044428837,0.0005150051
0.021214698,0.00036157382,0.0012307903,0.0006972723,0.00042420407
0.016426675,0.00028624904,0.00058441545,0.00051143346,0.00025785656
0.015539229,0.00040827537,0.0023469382,0.0006371753,0.0003570457
0.015320313,0.004095572,0.000961059,0.020004615,0.0015467827
0.0140323425,0.00038559118,0.0008307847,0.00041439527,0.00070519256
0.01372974,0.001256106,0.04773577,0.0017426668,0.0009425418
0.013260475,0.00024092142,0.00027970973,0.00025362888,0.00018378024
0.013080165,0.0035085785,0.0015317403,0.004982805,0.0021537335
0.012992058,0.0005677583,0.0003180944,0.00093028875,0.0005664997
0.012927317,0.00078743196,0.0004444633,0.0019128628,0.00042066013
0.010139986,0.00021837176,0.00050166866,0.0003006568,0.00021649062
0.010032528,0.0002903996,0.0002957093,0.00020805768,0.00015995254
0.009501844,0.0019301801,0.0008540987,0.0010872121,0.0019048145
0.009328711,0.014803323,0.00053818134,0.008183012,0.016985694
0.009013061,0.00044314365,0.00034038266,0.00035053745,0.00015798287
0.008800791,0.0030093992,0.00032740136,0.0016199707,0.0007140363
0.002848153,0.0626948,0.0012108434,0.004395113,0.0041944254
0.0009405511,0.043132152,0.0053831344,0.0013199231,0.0018277911
0.0011326895,0.0420516,0.0008869883,0.0028415215,0.0053137615
0.0015974866,0.02390924,0.0010316767,0.037246685,0.0032373695
0.0011503394,0.02313031,0.00058934325,0.0011281406,0.0044151368
0.0012600443,0.021060407,0.008081402,0.0019117855,0.0017917095
0.0007150601,0.019785888,0.0008113264,0.0031706959,0.03146064
0.0004161151,0.019408492,0.0002375009,0.0006404146,0.000634599
0.0003080966,0.017553879,0.00022232102,0.00041221146,0.00055861386
0.001297638,0.015669595,0.0010993457,0.0020360989,0.0007005478
0.00036785015,0.015319128,0.00022616355,0.0007921701,0.0037252184
0.0006204042,0.015079365,0.001294861,0.0013998031,0.00956468
0.00080036244,0.014770163,0.00052945473,0.009086188,0.002804673
0.0030914932,0.014525334,0.0019140319,0.0028058807,0.003467899
0.00096625823,0.013325806,0.0006309993,0.0026657048,0.0024492617
0.00034894145,0.011372398,0.0004357548,0.0009832362,0.004559885
0.0010903422,0.011128939,0.0010263509,0.011216191,0.0013456121
0.00035177698,0.010149678,0.0002767496,0.0008071971,0.00044242683
0.00030463265,0.008502321,0.00014701755,0.00036016214,0.0003656303
0.0056836843,0.0042396053,0.03938406,0.02529363,0.007650854
0.007382118,0.004218123,0.027964193,0.0021414156,0.0020791406
0.00073461706,0.000595337,0.027644008,0.0006397124,0.0003696213
0.000865673,0.0005361762,0.02595464,0.0009874996,0.00048372385
0.0010702804,0.00046051532,0.022288695,0.00055738306,0.0003815273
0.0012697313,0.0007961094,0.020030433,0.002533187,0.0015431113
0.0006430529,0.0004228746,0.018004693,0.00065545784,0.0003498875
0.0009158807,0.0004227591,0.017386248,0.0005643152,0.00027924086
0.0014247895,0.0003773457,0.01380086,0.0005163963,0.00025701406
0.00022455327,0.00021896987,0.011589445,0.00035429644,0.0001976408
0.0018841292,0.0004329447,0.011160122,0.0011481274,0.00039942973
0.00026042823,0.00033657416,0.011052063,0.0007842339,0.00026377526
0.00036787032,0.00044921064,0.01041665,0.00038399658,0.00039221055
0.00024646174,0.0002710838,0.010146188,0.00038627526,0.00021205169
0.000276045,0.00023258547,0.010038869,0.00036200875,0.00035521746
0.00060099363,0.002237468,0.009611358,0.0012887837,0.0022646664
0.0011617831,0.0035264532,0.009397584,0.02023216,0.0017472719
0.0044532944,0.00031976998,0.009162744,0.00039068694,0.0002822999
0.0008139209,0.0015336534,0.00063698075,0.02551263,0.0033972198
0.0009243462,0.0038937444,0.00071321556,0.023582682,0.013814097
0.0006850902,0.003268251,0.0011664078,0.022480963,0.0020193353
0.00047806164,0.0012375866,0.00071891805,0.019588934,0.0016336584
0.0009209186,0.0008177435,0.00040952853,0.01620297,0.0011155971
0.0018373788,0.0066962535,0.00077378773,0.01583037,0.00921376
0.0008766829,0.0010269388,0.0004065487,0.015380569,0.0006664146
0.0021009492,0.0010639054,0.0047734254,0.014942116,0.0015054072
0.0013230131,0.0020750966,0.004690119,0.011919766,0.0043817284
0.0020216517,0.0056549064,0.00040750048,0.011373683,0.019705389
0.00065006485,0.0015102607,0.00051577756,0.011342802,0.0014627228
0.0069512036,0.003607908,0.0003816978,0.011087609,0.0087904725
0.0005014445,0.0026864556,0.00073510915,0.011031978,0.007641888
0.0005323422,0.0019665253,0.00041415085,0.009622006,0.00061710883
0.0010834157,0.001968342,0.00063438213,0.009336066,0.0053369603
0.00044524623,0.0028529253,0.000853534,0.0018230323,0.037035998
0.0004479074,0.0011593328,0.00044757672,0.0007982623,0.036270384
0.0031795795,0.007660378,0.0009577153,0.006753616,0.0323213
0.0044575096,0.0008026457,0.0005805354,0.00093537295,0.02265135
0.0018691522,0.003121628,0.0007218905,0.0068554375,0.020452924
0.0014676951,0.0015518861,0.0015317922,0.00311235,0.01760916
0.0003299948,0.000783224,0.00076751126,0.0013070462,0.017189953
0.00042984943,0.0010431878,0.0003094463,0.0018848714,0.015610566
0.0002575033,0.00090391474,0.0005426885,0.0030288235,0.010307342
0.00017207985,0.00069492555,0.00029279728,0.0011054709,0.010094392
0.00014585722,0.00036691927,0.00015408423,0.0008517622,0.009838129
0.00021725587,0.0008217202,0.00019392552,0.00048922107,0.00975673
0.00020990396,0.00046347498,0.00025241138,0.00042563933,0.009466025
0.0004057533,0.0022493924,0.00026604725,0.00078545563,0.008975662
