,0,1,2,3,4,5,6,7,8,9
0,0.04465128,0.021561012,0.0014085526,0.006835536,0.01890103,0.0031319126,0.0015870656,0.02308883,0.0016387461,0.011484955
1,0.0392925,0.0056014764,0.050436992,0.02501123,0.034596406,0.008015758,0.008488341,0.03889222,0.004629854,0.0134402
2,0.01938249,0.021918219,0.0029856164,0.00587741,0.006485223,0.016757598,0.014621386,0.019888086,0.017383214,0.008203822
3,0.01714305,0.008617551,0.010269338,0.0048079565,0.018972635,0.019043991,0.003246374,0.02347657,0.014671629,0.01435959
4,0.015973607,0.018031478,0.0029259392,0.020961164,0.011652244,0.014211195,0.006480031,0.0072871125,0.019240845,0.0076965434
5,0.015561175,0.0043550674,0.010789424,0.0053899717,0.011988113,0.004657524,0.010423174,0.01335248,0.004809823,0.012560741
6,0.013749156,0.013661574,0.008866665,0.007795765,0.011351701,0.008299055,0.0037547557,0.010928291,0.010283414,0.00753572
7,0.013242051,0.0036482671,0.0036413262,0.005078831,0.009830309,0.008509724,0.01053799,0.0023117445,0.0034108295,0.008876376
8,0.012553322,0.001743303,0.005655588,0.010077223,0.0035842333,0.00287193,0.0018739427,0.0032763747,0.0031888096,0.004934653
9,0.012150217,0.011105819,0.0030141093,0.016224485,0.015351828,0.0060383817,0.0028423213,0.011598364,0.006355576,0.015083283
10,0.0085772285,0.014201485,0.002562385,0.0034415412,0.028965164,0.0060493513,0.005325445,0.00842502,0.010143574,0.009369096
11,0.00821442,0.0044365623,0.0051716985,0.003976504,0.008560685,0.00756287,0.00643491,0.007931686,0.0051246774,0.00391055
12,0.008059045,0.0029979832,0.0016275275,0.0062786764,0.013422179,0.00938942,0.007413514,0.012222339,0.0022081805,0.0053233467
13,0.007880124,0.0046758843,0.0028080493,0.005228612,0.0046046153,0.005761562,0.006596332,0.008219516,0.0040358976,0.0033244323
14,0.007855474,0.004969873,0.004603468,0.0065295477,0.012061354,0.009559713,0.010590258,0.014664811,0.0023405282,0.009267819
15,0.0075893565,0.0013527207,0.002405203,0.008616633,0.0015770386,0.0037647807,0.0019296282,0.0046664523,0.002294139,0.0027445
16,0.00747877,0.0029011643,0.008147139,0.006357913,0.013696973,0.0036057353,0.003218029,0.00847415,0.0075480496,0.002185382
17,0.007477444,0.004259903,0.0024116905,0.007880396,0.004939005,0.0035729823,0.0055687944,0.0042341724,0.0042322893,0.006475151
18,0.0073394934,0.0027726202,0.0018613298,0.0030957607,0.003279579,0.0010586687,0.0020509646,0.002399049,0.003574158,0.003308796
19,0.006970901,0.0027789928,0.0030725785,0.0020773753,0.0019242779,0.004796358,0.0012508209,0.0024618772,0.0053518186,0.0023507364
20,0.0042850473,0.015090779,0.0011837623,0.012644549,0.022813162,0.0074737924,0.0017528667,0.012049789,0.011562907,0.005347192
21,0.005824079,0.012653435,0.006858645,0.0029768865,0.008517231,0.013005917,0.004087667,0.011163776,0.005151369,0.0075579304
