time,topic,topic_value,source
0,0,0.1015055775642395,garda
0,1,0.10083364695310593,garda
0,2,0.10136929899454117,garda
0,3,0.10372402518987656,garda
0,4,0.0988297313451767,garda
0,5,0.09997113049030304,garda
0,6,0.09869158267974854,garda
0,7,0.09663514792919159,garda
0,8,0.10000288486480713,garda
0,9,0.09843698889017105,garda
1,0,0.10147436708211899,garda
1,1,0.10084497183561325,garda
1,2,0.10132653266191483,garda
1,3,0.10364136099815369,garda
1,4,0.09895408153533936,garda
1,5,0.09998343139886856,garda
1,6,0.0986432433128357,garda
1,7,0.09654992073774338,garda
1,8,0.10021277517080307,garda
1,9,0.09836937487125397,garda
2,0,0.10145283490419388,garda
2,1,0.1008153110742569,garda
2,2,0.10135375708341599,garda
2,3,0.1037394106388092,garda
2,4,0.09885508567094803,garda
2,5,0.09999701380729675,garda
2,6,0.09865711629390717,garda
2,7,0.09647311270236969,garda
2,8,0.10020075738430023,garda
2,9,0.09845555573701859,garda
3,0,0.10145140439271927,garda
3,1,0.10079903900623322,garda
3,2,0.1014494001865387,garda
3,3,0.10389386117458344,garda
3,4,0.09878143668174744,garda
3,5,0.10003810375928879,garda
3,6,0.09848344326019287,garda
3,7,0.09638015925884247,garda
3,8,0.10034757107496262,garda
3,9,0.0983758494257927,garda
4,0,0.10146981477737427,garda
4,1,0.10081535577774048,garda
4,2,0.10149168968200684,garda
4,3,0.10394611209630966,garda
4,4,0.0987400934100151,garda
4,5,0.10006216913461685,garda
4,6,0.09839215129613876,garda
4,7,0.09632888436317444,garda
4,8,0.10039933025836945,garda
4,9,0.098354272544384,garda
5,0,0.10148375481367111,garda
5,1,0.10083179920911789,garda
5,2,0.1015055775642395,garda
5,3,0.10395657271146774,garda
5,4,0.09871483594179153,garda
5,5,0.10006990283727646,garda
5,6,0.09836698323488235,garda
5,7,0.09630969166755676,garda
5,8,0.10040797293186188,garda
5,9,0.09835305064916611,garda
6,0,0.10149060189723969,garda
6,1,0.10084100812673569,garda
6,2,0.1015116274356842,garda
6,3,0.10395342856645584,garda
6,4,0.09869734942913055,garda
6,5,0.10006976127624512,garda
6,6,0.09837035834789276,garda
6,7,0.09630578756332397,garda
6,8,0.10040690004825592,garda
6,9,0.09835319221019745,garda
7,0,0.10149289667606354,garda
7,1,0.10084468871355057,garda
7,2,0.10151717066764832,garda
7,3,0.10394564270973206,garda
7,4,0.0986836776137352,garda
7,5,0.10006680339574814,garda
7,6,0.09838400781154633,garda
7,7,0.09630826860666275,garda
7,8,0.10040558129549026,garda
7,9,0.09835122525691986,garda
8,0,0.10148847103118896,garda
8,1,0.1008433848619461,garda
8,2,0.1015271469950676,garda
8,3,0.10392361134290695,garda
8,4,0.09866589307785034,garda
8,5,0.10005775839090347,garda
8,6,0.09842227399349213,garda
8,7,0.09631924331188202,garda
8,8,0.10041017830371857,garda
8,9,0.09834212809801102,garda
9,0,0.1014813557267189,garda
9,1,0.10083857923746109,garda
9,2,0.10153866559267044,garda
9,3,0.1039077565073967,garda
9,4,0.0986514464020729,garda
9,5,0.10005179792642593,garda
9,6,0.09845424443483353,garda
9,7,0.09632934629917145,garda
9,8,0.10041584819555283,garda
9,9,0.09833096712827682,garda
10,0,0.10147704929113388,garda
10,1,0.10083504766225815,garda
10,2,0.10154810547828674,garda
10,3,0.10389814525842667,garda
10,4,0.09864143282175064,garda
10,5,0.10004866868257523,garda
10,6,0.09847307205200195,garda
10,7,0.09633577615022659,garda
10,8,0.10041972994804382,garda
10,9,0.09832292795181274,garda
11,0,0.10147571563720703,garda
11,1,0.10083350539207458,garda
11,2,0.10155442357063293,garda
11,3,0.1038927435874939,garda
11,4,0.09863505512475967,garda
11,5,0.10004721581935883,garda
11,6,0.09848213195800781,garda
11,7,0.09633917361497879,garda
11,8,0.10042130947113037,garda
11,9,0.09831872582435608,garda
12,0,0.10147491842508316,garda
12,1,0.10083220899105072,garda
12,2,0.10155832767486572,garda
12,3,0.10389266908168793,garda
12,4,0.09863188117742538,garda
12,5,0.10004757344722748,garda
12,6,0.09848339855670929,garda
12,7,0.0963411033153534,garda
12,8,0.10042010992765427,garda
12,9,0.09831765294075012,garda
13,0,0.10147513449192047,garda
13,1,0.1008322536945343,garda
13,2,0.10156036168336868,garda
13,3,0.10389026999473572,garda
13,4,0.09862969815731049,garda
13,5,0.10004690289497375,garda
13,6,0.09848584234714508,garda
13,7,0.09634228050708771,garda
13,8,0.10042046755552292,garda
13,9,0.09831678122282028,garda
14,0,0.10147520899772644,garda
14,1,0.10083189606666565,garda
14,2,0.10156188160181046,garda
14,3,0.10389036685228348,garda
14,4,0.09862831234931946,garda
14,5,0.10004695504903793,garda
14,6,0.09848593175411224,garda
14,7,0.09634315222501755,garda
14,8,0.10041970759630203,garda
14,9,0.09831657260656357,garda
15,0,0.1014760360121727,garda
15,1,0.10083264112472534,garda
15,2,0.10156239569187164,garda
15,3,0.10388754308223724,garda
15,4,0.09862703830003738,garda
15,5,0.10004592686891556,garda
15,6,0.09848851710557938,garda
15,7,0.09634330868721008,garda
15,8,0.1004207581281662,garda
15,9,0.09831584244966507,garda
16,0,0.10147584229707718,garda
16,1,0.10083215683698654,garda
16,2,0.10156338661909103,garda
16,3,0.10388880968093872,garda
16,4,0.0986265242099762,garda
16,5,0.10004635900259018,garda
16,6,0.09848753362894058,garda
16,7,0.09634377062320709,garda
16,8,0.10041951388120651,garda
16,9,0.09831622242927551,garda
17,0,0.101475790143013,garda
17,1,0.10083191841840744,garda
17,2,0.10156391561031342,garda
17,3,0.10388898104429245,garda
17,4,0.09862607717514038,garda
17,5,0.10004640370607376,garda
17,6,0.09848729521036148,garda
17,7,0.09634425491094589,garda
17,8,0.10041917860507965,garda
17,9,0.0983162447810173,garda
18,0,0.101475790143013,garda
18,1,0.10083182156085968,garda
18,2,0.10156423598527908,garda
18,3,0.10388895869255066,garda
18,4,0.0986257940530777,garda
18,5,0.10004635900259018,garda
18,6,0.09848727285861969,garda
18,7,0.09634455293416977,garda
18,8,0.1004190593957901,garda
18,9,0.09831622242927551,garda
19,0,0.101475790143013,garda
19,1,0.10083174705505371,garda
19,2,0.1015644297003746,garda
19,3,0.10388888418674469,garda
19,4,0.09862557798624039,garda
19,5,0.10004628449678421,garda
19,6,0.09848729521036148,garda
19,7,0.0963447093963623,garda
19,8,0.10041900724172592,garda
19,9,0.09831614792346954,garda
0,0,0.1015055775642395,sbs news
0,1,0.10083364695310593,sbs news
0,2,0.10136929899454117,sbs news
0,3,0.10372402518987656,sbs news
0,4,0.0988297313451767,sbs news
0,5,0.09997113049030304,sbs news
0,6,0.09869158267974854,sbs news
0,7,0.09663514792919159,sbs news
0,8,0.10000288486480713,sbs news
0,9,0.09843698889017105,sbs news
1,0,0.10147436708211899,sbs news
1,1,0.10084497183561325,sbs news
1,2,0.10132653266191483,sbs news
1,3,0.10364136099815369,sbs news
1,4,0.09895408153533936,sbs news
1,5,0.09998343139886856,sbs news
1,6,0.0986432433128357,sbs news
1,7,0.09654992073774338,sbs news
1,8,0.10021277517080307,sbs news
1,9,0.09836937487125397,sbs news
2,0,0.10145283490419388,sbs news
2,1,0.1008153110742569,sbs news
2,2,0.10135375708341599,sbs news
2,3,0.1037394106388092,sbs news
2,4,0.09885508567094803,sbs news
2,5,0.09999701380729675,sbs news
2,6,0.09865711629390717,sbs news
2,7,0.09647311270236969,sbs news
2,8,0.10020075738430023,sbs news
2,9,0.09845555573701859,sbs news
3,0,0.10145140439271927,sbs news
3,1,0.10079903900623322,sbs news
3,2,0.1014494001865387,sbs news
3,3,0.10389386117458344,sbs news
3,4,0.09878143668174744,sbs news
3,5,0.10003810375928879,sbs news
3,6,0.09848344326019287,sbs news
3,7,0.09638015925884247,sbs news
3,8,0.10034757107496262,sbs news
3,9,0.0983758494257927,sbs news
4,0,0.10146981477737427,sbs news
4,1,0.10081535577774048,sbs news
4,2,0.10149168968200684,sbs news
4,3,0.10394611209630966,sbs news
4,4,0.0987400934100151,sbs news
4,5,0.10006216913461685,sbs news
4,6,0.09839215129613876,sbs news
4,7,0.09632888436317444,sbs news
4,8,0.10039933025836945,sbs news
4,9,0.098354272544384,sbs news
5,0,0.10148375481367111,sbs news
5,1,0.10083179920911789,sbs news
5,2,0.1015055775642395,sbs news
5,3,0.10395657271146774,sbs news
5,4,0.09871483594179153,sbs news
5,5,0.10006990283727646,sbs news
5,6,0.09836698323488235,sbs news
5,7,0.09630969166755676,sbs news
5,8,0.10040797293186188,sbs news
5,9,0.09835305064916611,sbs news
6,0,0.10149060189723969,sbs news
6,1,0.10084100812673569,sbs news
6,2,0.1015116274356842,sbs news
6,3,0.10395342856645584,sbs news
6,4,0.09869734942913055,sbs news
6,5,0.10006976127624512,sbs news
6,6,0.09837035834789276,sbs news
6,7,0.09630578756332397,sbs news
6,8,0.10040690004825592,sbs news
6,9,0.09835319221019745,sbs news
7,0,0.10149289667606354,sbs news
7,1,0.10084468871355057,sbs news
7,2,0.10151717066764832,sbs news
7,3,0.10394564270973206,sbs news
7,4,0.0986836776137352,sbs news
7,5,0.10006680339574814,sbs news
7,6,0.09838400781154633,sbs news
7,7,0.09630826860666275,sbs news
7,8,0.10040558129549026,sbs news
7,9,0.09835122525691986,sbs news
8,0,0.10149236768484116,sbs news
8,1,0.10084506869316101,sbs news
8,2,0.10152360796928406,sbs news
8,3,0.10393618047237396,sbs news
8,4,0.09867203235626221,sbs news
8,5,0.10006300359964371,sbs news
8,6,0.09840127825737,sbs news
8,7,0.09631345421075821,sbs news
8,8,0.1004057228565216,sbs news
8,9,0.09834735840559006,sbs news
9,0,0.1014900878071785,sbs news
9,1,0.10084355622529984,sbs news
9,2,0.10153075307607651,sbs news
9,3,0.10392629355192184,sbs news
9,4,0.09866177290678024,sbs news
9,5,0.10005916655063629,sbs news
9,6,0.09841945767402649,sbs news
9,7,0.09631960839033127,sbs news
9,8,0.10040723532438278,sbs news
9,9,0.0983421728014946,sbs news
10,0,0.10148385167121887,sbs news
10,1,0.10083997249603271,sbs news
10,2,0.10153980553150177,sbs news
10,3,0.10390902310609818,sbs news
10,4,0.09864982962608337,sbs news
10,5,0.10005241632461548,sbs news
10,6,0.09845025092363358,sbs news
10,7,0.09632902592420578,sbs news
10,8,0.10041345655918121,sbs news
10,9,0.09833253920078278,sbs news
11,0,0.10147867351770401,sbs news
11,1,0.10083615034818649,sbs news
11,2,0.10154849290847778,sbs news
11,3,0.10389802604913712,sbs news
11,4,0.09864037483930588,sbs news
11,5,0.1000485047698021,sbs news
11,6,0.09847163408994675,sbs news
11,7,0.0963357537984848,sbs news
11,8,0.10041843354701996,sbs news
11,9,0.09832388907670975,sbs news
12,0,0.10147615522146225,sbs news
12,1,0.10083343088626862,sbs news
12,2,0.1015544980764389,sbs news
12,3,0.10389621555805206,sbs news
12,4,0.09863545745611191,sbs news
12,5,0.10004843026399612,sbs news
12,6,0.09847762435674667,sbs news
12,7,0.09633903950452805,sbs news
12,8,0.10041888803243637,sbs news
12,9,0.09832046180963516,sbs news
13,0,0.10147576779127121,sbs news
13,1,0.10083302110433578,sbs news
13,2,0.10155794024467468,sbs news
13,3,0.10389120876789093,sbs news
13,4,0.09863162785768509,sbs news
13,5,0.10004690289497375,sbs news
13,6,0.09848405420780182,sbs news
13,7,0.09634105861186981,sbs news
13,8,0.10042063891887665,sbs news
13,9,0.09831779450178146,sbs news
14,0,0.10147625207901001,sbs news
14,1,0.10083314776420593,sbs news
14,2,0.10156019032001495,sbs news
14,3,0.10388821363449097,sbs news
14,4,0.09862896800041199,sbs news
14,5,0.10004597157239914,sbs news
14,6,0.0984877422451973,sbs news
14,7,0.09634195268154144,sbs news
14,8,0.10042133182287216,sbs news
14,9,0.09831634163856506,sbs news
15,0,0.10147571563720703,sbs news
15,1,0.10083230584859848,sbs news
15,2,0.1015620306134224,sbs news
15,3,0.10388952493667603,sbs news
15,4,0.09862779080867767,sbs news
15,5,0.1000465676188469,sbs news
15,6,0.09848680347204208,sbs news
15,7,0.09634285420179367,sbs news
15,8,0.10041970759630203,sbs news
15,9,0.09831655025482178,sbs news
16,0,0.10147559642791748,sbs news
16,1,0.10083194077014923,sbs news
16,2,0.10156302154064178,sbs news
16,3,0.10388952493667603,sbs news
16,4,0.09862694144248962,sbs news
